"PerformanceID";"StudentID";"StudyHoursPerWeek";"PerformanceScore";"EngagementID";"AttendanceID";"GradeID"
65649;"S00114";22.3;45.09;65541;65536;65631
65650;"S00115";9.0;66.13;65538;65536;65643
65651;"S00116";11.5;62.97;65536;65536;65644
65652;"S00117";9.8;52.52;65536;65536;0
65653;"S00118";4.2;57.7;65536;65536;0
65654;"S00119";15.7;50.89;65536;65536;0
65655;"S00120";13.8;74.85;65536;65536;0
65656;"S00121";14.0;61.97;65537;65536;0
65657;"S00122";5.5;59.17;65536;65536;65650
65658;"S00123";17.0;53.54;65536;65536;0
65659;"S00124";3.0;66.49;65539;65536;0
65660;"S00125";12.9;67.32;65536;65536;0
65661;"S00126";21.0;73.6;65539;65536;0
65662;"S00127";10.0;60.93;65537;65536;0
65663;"S00128";7.2;51.09;65537;65536;0
65664;"S00129";10.5;46.48;65540;65536;65656
65665;"S00130";7.5;54.39;65536;65536;0
65666;"S00131";2.2;44.0;65539;65536;0
65667;"S00132";10.3;49.92;65539;65536;0
65668;"S00133";4.7;73.25;65540;65536;0
65669;"S00134";12.4;36.15;65537;65536;0
65670;"S00135";5.4;67.52;65537;65536;65662
65671;"S00136";17.7;54.49;65540;65536;0
65672;"S00137";6.1;61.59;65536;65536;0
65673;"S00138";8.4;49.13;65540;65536;0
65674;"S00139";14.1;45.38;65541;65536;65666
65675;"S00140";3.8;70.09;65541;65536;0
65676;"S00141";11.1;40.81;65537;65536;65668
65677;"S00142";16.5;64.22;65540;65536;0
65678;"S00143";2.0;63.28;65539;65536;0
65679;"S00144";10.9;68.17;65539;65536;0
65680;"S00145";11.3;54.73;65541;65536;0
65681;"S00146";13.9;66.16;65537;65536;0
65682;"S00147";3.8;68.21;65537;65536;65674
65683;"S00148";3.4;48.37;65536;65536;0
65684;"S00149";12.6;44.0;65536;65536;0
65685;"S00150";11.5;48.56;65537;65536;65584
65686;"S00151";11.3;54.96;65536;65536;0
65687;"S00152";11.7;64.2;65536;65536;0
65688;"S00153";6.6;48.98;65539;65536;65677
65689;"S00154";11.2;76.97;65536;65536;0
65690;"S00155";11.5;41.395;65536;65536;0
65691;"S00156";6.4;48.76;65537;65536;0
65692;"S00157";19.3;55.53;65541;65536;0
65693;"S00158";12.4;63.78;65538;65536;0
65694;"S00159";4.0;59.16;65540;65536;0
65695;"S00160";10.0;57.84;65537;65536;65684
65696;"S00161";5.1;49.37;65540;65536;65685
65697;"S00162";13.9;58.33;65536;65536;0
65698;"S00163";15.8;55.06;65539;65536;0
65699;"S00164";5.9;71.78;65539;65536;0
65700;"S00165";14.8;52.83;65540;65536;65689
65701;"S00166";12.1;56.51;65540;65536;0
65702;"S00167";14.1;48.35;65536;65536;0
65703;"S00168";19.5;52.22;65539;65536;0
65704;"S00169";8.8;76.54;65538;65536;0
65705;"S00170";6.2;65.58;65541;65536;65692
65706;"S00171";5.6;60.84;65539;65536;0
65707;"S00172";5.9;48.96;65536;65536;0
65708;"S00173";9.6;59.18;65540;65536;0
65709;"S00174";11.7;66.01;65539;65536;0
65710;"S00175";11.4;53.65;65541;65536;65696
65711;"S00176";14.1;61.64;65541;65536;0
65712;"S00177";10.1;61.62;65540;65536;0
65713;"S00178";17.3;53.19;65536;65536;0
65714;"S00179";8.7;54.13;65540;65536;65700
65715;"S00180";10.0;47.87;65539;65536;65701
65716;"S00181";13.1;71.88;65536;65536;65702
65717;"S00182";5.7;63.01;65539;65536;65684
65718;"S00183";4.6;48.21;65539;65536;0
65719;"S00184";12.4;47.16;65537;65536;0
65720;"S00185";8.9;66.81;65539;65536;0
65721;"S00186";13.6;71.54;65536;65536;65707
65722;"S00187";12.4;55.03;65539;65536;65708
65723;"S00188";9.6;52.74;65536;65536;0
65724;"S00189";5.8;59.41;65537;65536;0
65725;"S00190";2.4;55.28;65537;65536;0
65726;"S00191";7.8;61.97;65536;65536;0
65727;"S00192";14.3;64.23;65536;65536;0
65728;"S00193";11.1;71.25;65538;65536;65714
65729;"S00194";3.8;55.92;65540;65536;0
65730;"S00195";10.9;61.65;65538;65536;0
65731;"S00196";11.9;70.27;65536;65536;0
65732;"S00197";5.6;65.35;65537;65536;0
65733;"S00198";10.8;75.92;65541;65536;0
65734;"S00199";10.3;68.09;65540;65536;0
65735;"S00200";10.0;55.98;65541;65536;0
65736;"S00201";11.8;56.16;65541;65536;0
65737;"S00202";12.8;62.1;65538;65536;0
65738;"S00203";15.4;48.03;65536;65536;0
65739;"S00204";15.3;72.05;65541;65536;0
65740;"S00205";3.1;64.55;65538;65536;0
65741;"S00206";5.3;70.75;65536;65536;0
65742;"S00207";12.6;57.83;65539;65536;0
65743;"S00208";12.6;56.62;65536;65536;0
65744;"S00209";12.6;43.98;65539;65536;0
65745;"S00210";22.8;54.7;65539;65536;0
65746;"S00211";12.9;62.34;65536;65536;65640
65747;"S00212";15.7;37.75;65540;65536;0
65748;"S00213";14.8;57.55;65541;65536;0
65749;"S00214";13.3;55.63;65538;65536;0
65750;"S00215";8.4;55.43;65536;65536;0
65751;"S00216";13.8;53.77;65539;65536;0
65752;"S00217";6.1;68.45;65540;65536;65734
65753;"S00218";8.8;48.4;65540;65536;0
65754;"S00219";7.6;54.71;65538;65536;0
65755;"S00220";10.4;51.32;65541;65536;65737
65756;"S00221";21.6;58.65;65536;65536;0
65757;"S00222";0.7;44.8;65541;65536;0
65758;"S00223";13.4;54.57;65536;65536;0
65759;"S00224";1.9;51.46;65536;65536;0
65760;"S00225";7.6;53.62;65541;65536;0
65761;"S00226";15.4;69.54;65536;65536;0
65762;"S00227";10.3;72.77;65536;65536;0
65763;"S00228";4.6;57.59;65536;65536;0
65764;"S00229";6.4;56.65;65536;65536;65745
65765;"S00230";10.0;63.85;65536;65536;0
65766;"S00231";10.0;44.46;65541;65536;0
65767;"S00232";11.1;57.96;65536;65536;0
65768;"S00233";10.2;56.88;65536;65536;0
65769;"S00234";6.7;49.43;65541;65536;0
65770;"S00235";20.7;48.04;65536;65536;65751
65771;"S00236";13.2;53.36;65536;65536;0
65772;"S00237";-0.1;47.93;65539;65536;0
65773;"S00238";10.9;61.66;65536;65536;0
65774;"S00239";6.7;32.885;65540;65536;0
65775;"S00240";14.3;40.74;65536;65536;0
65776;"S00241";6.0;43.66;65540;65536;65755
65777;"S00242";9.4;58.07;65537;65536;0
65778;"S00243";12.5;39.06;65540;65536;0
65779;"S00244";14.3;52.91;65536;65536;65599
65780;"S00245";4.0;53.09;65536;65536;0
65781;"S00246";8.3;47.1;65539;65536;65760
65782;"S00247";7.6;68.26;65536;65536;0
65783;"S00248";6.7;60.58;65538;65536;0
65784;"S00249";18.8;53.4;65539;65536;65763
65785;"S00250";12.0;33.43;65536;65536;0
65786;"S00251";3.7;27.68;65540;65536;0
65787;"S00252";14.6;69.5;65541;65536;0
65788;"S00253";20.6;46.3;65541;65536;0
65789;"S00254";15.2;58.64;65536;65536;65767
65790;"S00255";2.4;55.67;65541;65536;0
65791;"S00256";7.6;53.95;65536;65536;0
65792;"S00257";16.3;54.97;65541;65536;0
65793;"S00258";6.5;75.49;65541;65536;0
65794;"S00259";12.2;45.47;65540;65536;0
65795;"S00260";13.9;48.03;65537;65536;65772
65796;"S00261";5.4;51.83;65539;65536;65708
65797;"S00262";9.7;58.09;65539;65536;0
65798;"S00263";-2.8;42.725;65539;65536;0
65799;"S00264";4.9;72.76;65536;65536;0
65800;"S00265";8.7;46.1;65536;65536;0
65801;"S00266";3.8;43.54;65538;65536;0
65802;"S00267";18.2;59.07;65538;65536;0
65803;"S00268";2.8;43.59;65541;65536;0
65804;"S00269";7.8;61.1;65539;65536;0
65805;"S00270";10.7;52.02;65536;65536;0
65806;"S00271";17.2;54.98;65537;65536;0
65807;"S00272";2.8;64.25;65541;65536;0
65808;"S00273";15.8;49.45;65536;65536;0
65809;"S00274";10.1;52.12;65537;65536;65585
65810;"S00275";10.0;40.24;65536;65536;65666
65811;"S00276";12.3;71.53;65538;65536;0
65812;"S00277";11.0;62.78;65539;65536;65574
65813;"S00278";7.0;54.04;65536;65536;0
65814;"S00279";10.3;57.99;65536;65536;0
65815;"S00280";8.1;52.48;65537;65536;65790
65816;"S00281";10.6;41.98;65541;65536;65791
65817;"S00282";13.3;36.04;65540;65536;65792
65818;"S00283";17.9;67.97;65536;65536;0
65819;"S00284";3.8;51.7;65536;65536;0
65820;"S00285";20.7;55.74;65541;65536;0
65821;"S00286";0.2;51.91;65540;65536;0
65822;"S00287";9.2;57.34;65538;65536;0
65823;"S00288";12.9;55.95;65536;65536;0
65824;"S00289";11.4;57.09;65536;65536;65798
65825;"S00290";6.9;75.23;65541;65536;0
65826;"S00291";9.0;65.54;65536;65536;65568
65827;"S00292";7.5;70.79;65536;65536;0
65828;"S00293";7.1;50.23;65539;65536;0
65829;"S00294";14.2;50.46;65536;65536;65755
65830;"S00295";11.8;51.22;65541;65536;65791
65831;"S00296";6.5;47.08;65537;65536;0
65832;"S00297";14.5;64.63;65537;65536;0
65833;"S00298";11.5;57.16;65536;65536;0
65834;"S00299";14.1;63.63;65538;65536;0
65835;"S00300";13.1;58.11;65536;65536;0
65836;"S00301";5.9;56.46;65536;65536;0
65837;"S00302";7.2;60.59;65539;65536;0
65838;"S00303";13.7;62.26;65537;65536;0
65839;"S00304";13.1;60.45;65536;65536;0
65840;"S00305";9.9;57.56;65536;65536;0
65841;"S00306";10.6;64.72;65538;65536;0
65842;"S00307";16.4;45.5;65541;65536;0
65843;"S00308";7.0;68.245;65537;65536;65598
65844;"S00309";12.7;46.47;65539;65536;65813
65845;"S00310";9.0;52.53;65537;65536;0
65846;"S00311";8.9;55.12;65540;65536;65815
65847;"S00312";15.5;41.0;65537;65536;0
65848;"S00313";14.1;41.53;65537;65536;0
65849;"S00314";14.1;62.22;65537;65536;0
65850;"S00315";16.5;46.75;65539;65536;0
65851;"S00316";10.1;44.96;65537;65536;0
65852;"S00317";13.4;58.39;65536;65536;65585
65853;"S00318";8.4;67.55;65536;65536;65822
65854;"S00319";11.6;83.825;65536;65536;0
65855;"S00320";9.3;62.98;65537;65536;0
65856;"S00321";10.5;52.11;65539;65536;0
65857;"S00322";13.0;53.54;65537;65536;0
65858;"S00323";5.9;48.38;65539;65536;0
65859;"S00324";20.5;59.27;65536;65536;0
65860;"S00325";10.0;58.91;65536;65536;0
65861;"S00326";3.9;70.04;65537;65536;0
65862;"S00327";15.8;65.24;65538;65536;0
65863;"S00328";14.0;60.6;65537;65536;0
65864;"S00329";13.1;64.1;65537;65536;0
65865;"S00330";13.1;53.95;65541;65536;0
65866;"S00331";9.9;40.77;65536;65536;0
65867;"S00332";5.5;70.47;65536;65536;0
65868;"S00333";10.4;47.66;65536;65536;65684
65869;"S00334";6.6;58.99;65539;65536;65836
65870;"S00335";14.9;39.85;65537;65536;65642
65871;"S00336";9.3;51.11;65538;65536;0
65872;"S00337";5.9;53.83;65536;65536;0
65873;"S00338";8.4;75.96;65537;65536;0
65874;"S00339";12.1;40.67;65540;65536;0
65875;"S00340";7.2;45.7;65540;65536;0
65876;"S00341";5.9;52.02;65539;65536;0
65877;"S00342";11.2;59.31;65539;65536;0
65878;"S00343";11.2;55.0;65541;65536;0
65879;"S00344";7.5;51.67;65536;65536;0
65880;"S00345";7.6;56.21;65537;65536;0
65881;"S00346";11.2;49.66;65536;65536;0
65882;"S00347";2.8;75.87;65537;65536;65846
65883;"S00348";3.0;53.41;65538;65536;0
65884;"S00349";6.4;55.98;65539;65536;0
65885;"S00350";8.9;44.43;65536;65536;65849
65886;"S00351";11.6;58.53;65541;65536;0
65887;"S00352";17.4;67.76;65540;65536;0
65888;"S00353";14.3;56.38;65536;65536;0
65889;"S00354";9.2;45.7;65536;65536;65850
65890;"S00355";9.9;51.22;65536;65536;0
65891;"S00356";5.0;37.85;65539;65536;0
65892;"S00357";9.9;61.04;65541;65536;0
65893;"S00358";8.6;51.22;65540;65536;0
65894;"S00359";11.6;63.61;65536;65536;0
65895;"S00360";5.9;55.13;65540;65536;0
65896;"S00361";12.6;53.96;65539;65536;0
65897;"S00362";17.7;49.85;65539;65536;0
65898;"S00363";9.5;53.44;65536;65536;0
65899;"S00364";12.0;68.95;65539;65536;0
65900;"S00365";13.5;73.73;65536;65536;65568
65901;"S00366";10.0;56.06;65536;65536;0
65902;"S00367";-1.0;63.65;65539;65536;0
65903;"S00368";10.1;61.89;65539;65536;65677
65904;"S00369";10.5;62.49;65539;65536;0
65905;"S00370";10.0;44.52;65536;65536;0
65906;"S00371";10.1;53.98;65541;65536;65642
65907;"S00372";12.5;58.75;65537;65536;0
65908;"S00373";17.3;60.2;65537;65536;0
65909;"S00374";14.8;66.55;65537;65536;65862
65910;"S00375";20.8;58.49;65537;65536;0
65911;"S00376";6.2;52.14;65538;65536;0
65912;"S00377";14.4;62.8;65536;65536;0
65913;"S00378";10.9;75.105;65537;65536;0
65914;"S00379";20.9;59.3;65536;65536;0
65915;"S00380";6.0;40.705;65541;65536;0
65916;"S00381";5.8;46.49;65537;65536;0
65917;"S00382";7.0;60.04;65539;65536;0
65918;"S00383";-0.6;42.95;65536;65536;0
65919;"S00384";7.4;71.1;65538;65536;65662
65920;"S00385";6.2;53.42;65537;65536;0
65921;"S00386";10.8;53.66;65536;65536;0
65922;"S00387";11.7;69.91;65536;65536;0
65923;"S00388";19.4;55.64;65539;65536;65608
65924;"S00389";10.0;57.43;65539;65536;0
65925;"S00390";7.1;50.93;65536;65536;0
65926;"S00391";5.5;59.63;65538;65536;0
65927;"S00392";12.5;35.5;65539;65536;0
65928;"S00393";3.4;56.01;65538;65536;65755
65929;"S00394";19.2;65.43;65537;65536;65850
65930;"S00395";15.9;50.98;65536;65536;0
65931;"S00396";7.7;63.93;65538;65536;65875
65932;"S00397";10.0;64.8;65539;65536;0
65933;"S00398";16.8;68.04;65538;65536;0
65934;"S00399";9.4;65.15;65536;65536;0
65935;"S00400";16.2;51.11;65536;65536;0
65936;"S00401";2.0;53.58;65536;65536;0
65937;"S00402";7.0;58.32;65538;65536;0
65938;"S00403";10.0;64.54;65536;65536;0
65939;"S00404";10.2;50.76;65537;65536;65562
65940;"S00405";7.7;48.31;65539;65536;0
65941;"S00406";13.1;67.31;65541;65536;0
65942;"S00407";4.7;59.02;65541;65536;65850
65943;"S00408";9.3;62.96;65536;65536;65650
65944;"S00409";10.6;55.06;65537;65536;0
65945;"S00410";12.6;71.76;65536;65536;0
65946;"S00411";13.6;71.97;65536;65536;0
65947;"S00412";4.4;57.56;65536;65536;0
65948;"S00413";2.3;54.3;65537;65536;0
65949;"S00414";10.0;54.99;65537;65536;0
65950;"S00415";11.7;49.08;65536;65536;0
65951;"S00416";6.3;54.08;65537;65536;0
65952;"S00417";17.8;57.23;65541;65536;0
65953;"S00418";10.6;41.55;65538;65536;0
65954;"S00419";15.9;38.89;65541;65536;0
65955;"S00420";10.3;48.1;65537;65536;65538
65956;"S00421";20.3;74.76;65536;65536;65822
65957;"S00422";18.8;53.05;65541;65536;0
65958;"S00423";8.8;77.36;65539;65536;0
65959;"S00424";14.9;49.43;65536;65536;0
65960;"S00425";13.2;59.96;65536;65536;0
65961;"S00426";16.8;59.45;65541;65536;0
65962;"S00427";5.2;63.06;65541;65536;65684
65963;"S00428";10.0;51.8;65540;65536;0
65964;"S00429";10.0;56.2;65540;65536;0
65965;"S00430";1.2;50.52;65541;65536;0
65966;"S00431";4.1;45.41;65539;65536;65751
65967;"S00432";-0.2;51.15;65541;65536;0
65968;"S00433";8.7;53.37;65538;65536;0
65969;"S00434";13.6;50.46;65536;65536;0
65970;"S00435";17.5;64.48;65536;65536;0
65971;"S00436";10.0;66.84;65536;65536;0
65972;"S00437";18.1;47.98;65536;65536;0
65973;"S00438";3.1;54.21;65537;65536;65700
65974;"S00439";1.5;57.65;65536;65536;0
65975;"S00440";9.7;64.04;65539;65536;0
65976;"S00441";11.9;60.02;65539;65536;65696
65977;"S00442";9.8;53.06;65537;65536;0
65978;"S00443";-0.3;44.71;65539;65536;0
65979;"S00444";9.6;60.02;65541;65536;0
65980;"S00445";3.5;49.55;65538;65536;0
65981;"S00446";13.3;63.16;65540;65536;0
65982;"S00447";11.8;67.76;65541;65536;0
65983;"S00448";5.3;56.8;65540;65536;0
65984;"S00449";7.4;44.21;65538;65536;0
65985;"S00450";4.7;62.76;65537;65536;0
65986;"S00451";9.7;53.05;65539;65536;65917
65987;"S00452";14.8;70.69;65539;65536;0
65988;"S00453";-1.0;53.85;65537;65536;0
65989;"S00454";12.5;59.61;65537;65536;0
65990;"S00455";7.3;43.02;65537;65536;0
65991;"S00456";6.0;58.16;65536;65536;0
65992;"S00457";9.5;59.91;65539;65536;0
65993;"S00458";4.8;55.61;65536;65536;0
65994;"S00459";7.2;57.15;65536;65536;0
65995;"S00460";4.0;58.16;65536;65536;0
65996;"S00461";19.8;64.37;65538;65536;0
65997;"S00462";10.2;53.44;65536;65536;0
65998;"S00463";6.5;47.87;65536;65536;0
65999;"S00464";11.1;54.13;65536;65536;0
66000;"S00465";9.4;68.86;65536;65536;0
66001;"S00466";8.9;54.21;65538;65536;0
66002;"S00467";13.1;53.07;65536;65536;0
66003;"S00468";13.8;62.96;65536;65536;0
66004;"S00469";7.3;59.78;65540;65536;0
66005;"S00470";7.1;62.35;65536;65536;0
66006;"S00471";8.6;51.7;65536;65536;0
66007;"S00472";-1.5;54.11;65537;65536;65927
66008;"S00473";2.4;68.94;65540;65536;0
66009;"S00474";16.8;40.55;65537;65536;0
66010;"S00475";18.2;58.58;65539;65536;0
66011;"S00476";8.8;55.71;65536;65536;0
66012;"S00477";12.9;55.73;65538;65536;0
66013;"S00478";11.6;63.35;65538;65536;0
66014;"S00479";22.8;56.41;65536;65536;65737
66015;"S00480";15.6;53.96;65538;65536;0
66016;"S00481";9.4;49.52;65540;65536;0
66017;"S00482";5.2;59.97;65539;65536;65935
66018;"S00483";2.0;69.49;65536;65536;0
66019;"S00484";11.0;50.24;65536;65536;0
66020;"S00485";10.0;52.14;65539;65536;0
66021;"S00486";2.9;68.81;65537;65536;0
66022;"S00487";6.8;44.96;65536;65536;0
66023;"S00488";4.6;45.74;65538;65536;0
66024;"S00489";18.4;62.23;65540;65536;0
66025;"S00490";14.4;78.38;65536;65536;0
66026;"S00491";10.0;78.13;65536;65536;0
66027;"S00492";17.4;61.13;65536;65536;0
66028;"S00493";10.4;55.63;65539;65536;65944
66029;"S00494";5.7;47.46;65536;65536;0
66030;"S00495";17.6;65.93;65536;65536;65946
66031;"S00496";10.0;66.79;65536;65536;65875
66032;"S00497";4.8;58.01;65536;65536;65650
66033;"S00498";9.0;37.23;65540;65536;0
66034;"S00499";5.6;58.42;65536;65536;0
66035;"S00500";3.1;60.03;65537;65536;0
66036;"S00501";14.6;42.0;65541;65536;0
66037;"S00502";19.5;64.13;65539;65536;0
66038;"S00503";3.0;63.53;65539;65536;0
66039;"S00504";12.8;59.87;65538;65536;0
66040;"S00505";6.7;73.82;65536;65536;0
66041;"S00506";7.6;63.91;65536;65536;0
66042;"S00507";7.0;51.84;65536;65536;0
66043;"S00508";5.7;66.27;65540;65536;0
66044;"S00509";10.2;50.31;65540;65536;0
66045;"S00510";5.8;41.51;65539;65536;0
66046;"S00511";11.4;58.19;65536;65536;0
66047;"S00512";9.7;56.66;65541;65536;0
66048;"S00513";8.8;68.75;65540;65536;0
66049;"S00514";5.5;65.54;65538;65536;0
66050;"S00515";7.1;60.74;65536;65536;0
66051;"S00516";13.8;60.28;65536;65536;0
66052;"S00517";12.5;58.53;65536;65536;0
66053;"S00518";5.1;60.88;65539;65536;0
66054;"S00519";10.5;64.24;65539;65536;0
66055;"S00520";13.8;70.83;65539;65536;0
66056;"S00521";1.7;60.79;65537;65536;0
66057;"S00522";12.7;54.21;65539;65536;0
66058;"S00523";6.7;47.03;65536;65536;0
66059;"S00524";12.9;49.54;65541;65536;0
66060;"S00525";6.2;52.11;65536;65536;65633
66061;"S00526";1.0;50.85;65538;65536;0
66062;"S00527";1.9;60.15;65540;65536;0
66063;"S00528";10.2;60.45;65540;65536;0
66064;"S00529";11.3;69.01;65540;65536;0
66065;"S00530";5.5;46.87;65536;65536;0
66066;"S00531";13.2;62.36;65536;65536;0
66067;"S00532";1.7;49.44;65538;65536;0
66068;"S00533";9.7;49.23;65541;65536;0
66069;"S00534";3.9;52.42;65538;65536;0
66070;"S00535";6.7;62.22;65536;65536;0
66071;"S00536";10.2;63.94;65536;65536;0
66072;"S00537";5.7;41.41;65536;65536;0
66073;"S00538";8.1;66.74;65541;65536;0
66074;"S00539";15.0;60.3;65541;65536;0
66075;"S00540";7.1;53.1;65536;65536;0
66076;"S00541";10.0;49.29;65539;65536;0
66077;"S00542";4.4;62.01;65539;65536;0
66078;"S00543";12.6;64.16;65539;65536;0
66079;"S00544";17.2;62.42;65538;65536;0
66080;"S00545";-2.4;39.46;65536;65536;65772
66081;"S00546";6.0;54.03;65536;65536;0
66082;"S00547";12.9;60.75;65538;65536;0
66083;"S00548";9.0;63.6;65539;65536;0
66084;"S00549";11.9;46.2;65540;65536;0
66085;"S00550";7.0;52.49;65539;65536;65981
66086;"S00551";10.4;60.26;65537;65536;65767
66087;"S00552";9.2;57.27;65537;65536;0
66088;"S00553";15.8;53.05;65537;65536;0
66089;"S00554";11.3;55.41;65536;65536;0
66090;"S00555";11.7;54.56;65538;65536;65598
66091;"S00556";7.9;56.44;65539;65536;0
66092;"S00557";7.6;63.43;65536;65536;0
66093;"S00558";7.8;57.57;65541;65536;0
66094;"S00559";12.0;41.45;65537;65536;0
66095;"S00560";10.0;63.11;65536;65536;65536
66096;"S00561";11.4;41.67;65539;65536;0
66097;"S00562";20.4;63.09;65536;65536;65981
66098;"S00563";14.4;73.05;65541;65536;65989
66099;"S00564";8.4;50.51;65539;65536;0
66100;"S00565";16.0;56.14;65540;65536;0
66101;"S00566";8.0;45.75;65539;65536;0
66102;"S00567";-0.2;55.15;65537;65536;0
66103;"S00568";5.0;51.29;65539;65536;0
66104;"S00569";0.6;39.17;65536;65536;65992
66105;"S00570";8.2;64.82;65537;65536;0
66106;"S00571";10.1;57.51;65538;65536;0
66107;"S00572";18.4;54.99;65538;65536;65574
66108;"S00573";11.6;50.96;65540;65536;0
