"StudentID";"Gender";"Age";"GradeLevel";"at_risk";"CountryID"
"S00200";"Male";16;"Grade 11";"False";65539
"S00201";"Male";16;"Grade 11";"False";65536
"S00202";"Female";16;"Grade 11";"False";65538
"S00203";"Male";17;"Grade 12";"True";65538
"S00204";"Male";17;"Grade 12";"False";65538
"S00205";"Male";16;"Grade 11";"False";65536
"S00206";"Male";16;"Grade 11";"False";65536
"S00207";"Female";16;"Grade 11";"False";65538
"S00208";"Male";16;"Grade 12";"False";65537
"S00209";"Male";16;"Grade 11";"True";65536
"S00210";"Female";17;"Grade 12";"False";65536
"S00211";"Female";16;"Grade 11";"False";65536
"S00212";"Male";17;"Grade 12";"True";65536
"S00213";"Female";15;"Grade 10";"False";65539
"S00214";"Male";16;"Grade 11";"False";65539
"S00215";"Male";15;"Grade 10";"False";65536
"S00216";"Female";17;"Grade 12";"False";65539
"S00217";"Male";16;"Grade 11";"False";65538
"S00218";"Male";17;"Grade 12";"True";65536
"S00219";"Male";17;"Grade 12";"False";65536
"S00220";"Female";16;"Grade 11";"False";65537
"S00221";"Male";16;"Grade 11";"False";65538
"S00222";"Female";16;"Grade 11";"True";65538
"S00223";"Male";16;"Grade 11";"False";65536
"S00224";"Female";16;"Grade 11";"False";65540
"S00225";"Male";15;"Grade 10";"False";65536
"S00226";"Female";16;"Grade 11";"False";65536
"S00227";"Female";16;"Grade 11";"False";65538
"S00228";"Male";15;"Grade 10";"False";65536
"S00229";"Female";16;"Grade 11";"False";65538
"S00230";"Female";16;"Grade 11";"False";65539
"S00231";"Male";16;"Grade 11";"True";65536
"S00232";"Male";17;"Grade 12";"False";65540
"S00233";"Male";15;"Grade 10";"False";65537
"S00234";"Male";16;"Grade 11";"True";65536
"S00235";"Male";17;"Grade 12";"True";65536
"S00236";"Male";17;"Grade 12";"False";65539
"S00237";"Male";17;"Grade 12";"True";65536
"S00238";"Male";15;"Grade 10";"False";65538
"S00239";"Male";16;"Grade 11";"True";65540
"S00240";"Male";15;"Grade 10";"True";65536
"S00241";"Female";17;"Grade 12";"True";65540
"S00242";"Male";17;"Grade 12";"False";65536
"S00243";"Male";17;"Grade 12";"True";65540
"S00244";"Male";17;"Grade 12";"False";65536
"S00245";"Female";18;"Grade 12";"False";65538
"S00246";"Male";16;"Grade 11";"True";65537
"S00247";"Male";14;"Grade 10";"False";65539
"S00248";"Male";15;"Grade 10";"False";65539
"S00249";"Male";15;"Grade 10";"False";65538
"S00250";"Male";17;"Grade 12";"True";65540
"S00251";"Male";16;"Grade 11";"True";65537
"S00252";"Female";14;"Grade 10";"False";65536
"S00253";"Female";18;"Grade 12";"True";65537
"S00254";"Female";16;"Grade 11";"False";65540
"S00255";"Female";17;"Grade 12";"False";65539
"S00256";"Male";15;"Grade 11";"False";65536
"S00257";"Male";16;"Grade 11";"False";65536
"S00258";"Male";16;"Grade 11";"False";65540
"S00259";"Female";16;"Grade 11";"True";65539
"S00260";"Male";16;"Grade 11";"True";65538
"S00261";"Male";15;"Grade 10";"False";65537
"S00262";"Male";17;"Grade 12";"False";65538
"S00263";"Male";16;"Grade 11";"True";65539
"S00264";"Female";15;"Grade 10";"False";65538
"S00265";"Female";15;"Grade 10";"True";65540
"S00266";"Female";16;"Grade 11";"True";65538
"S00267";"Male";17;"Grade 12";"False";65536
"S00268";"Male";16;"Grade 11";"True";65536
"S00269";"Male";16;"Grade 11";"False";65536
"S00270";"Male";15;"Grade 11";"False";65536
"S00271";"Female";16;"Grade 11";"False";65539
"S00272";"Female";16;"Grade 11";"False";65537
"S00273";"Male";15;"Grade 10";"True";65537
"S00274";"Female";15;"Grade 10";"False";65538
"S00275";"Male";16;"Grade 11";"True";65536
"S00276";"Female";16;"Grade 11";"False";65540
"S00277";"Female";17;"Grade 12";"False";65540
"S00278";"Female";16;"Grade 11";"False";65536
"S00279";"Male";15;"Grade 10";"False";65539
"S00280";"Female";15;"Grade 10";"False";65536
"S00281";"Male";15;"Grade 10";"True";65536
"S00282";"Female";17;"Grade 12";"True";65539
"S00283";"Male";17;"Grade 12";"False";65537
"S00284";"Male";16;"Grade 12";"False";65539
"S00285";"Male";16;"Grade 11";"False";65538
"S00286";"Male";14;"Grade 10";"False";65539
"S00287";"Female";16;"Grade 11";"False";65536
"S00288";"Male";15;"Grade 10";"False";65536
"S00289";"Male";16;"Grade 11";"False";65538
"S00290";"Male";15;"Grade 10";"False";65536
"S00291";"Male";16;"Grade 11";"False";65540
"S00292";"Male";15;"Grade 10";"False";65537
"S00293";"Female";16;"Grade 11";"False";65537
"S00294";"Male";16;"Grade 11";"False";65539
"S00295";"Male";17;"Grade 12";"False";65538
"S00296";"Male";17;"Grade 12";"True";65538
"S00297";"Male";15;"Grade 10";"False";65537
"S00298";"Female";16;"Grade 11";"False";65536
"S00299";"Female";16;"Grade 11";"False";65540
"S00300";"Female";17;"Grade 12";"False";65536
"S00301";"Female";16;"Grade 11";"False";65538
"S00302";"Female";17;"Grade 12";"False";65537
"S00303";"Male";16;"Grade 11";"False";65537
"S00304";"Male";17;"Grade 12";"False";65536
"S00305";"Male";17;"Grade 12";"False";65539
"S00306";"Male";16;"Grade 11";"False";65537
"S00307";"Male";16;"Grade 12";"True";65537
"S00308";"Male";16;"Grade 11";"False";65536
"S00309";"Female";16;"Grade 11";"True";65537
"S00310";"Male";15;"Grade 11";"False";65536
"S00311";"Female";16;"Grade 11";"False";65536
"S00312";"Male";16;"Grade 11";"True";65536
"S00313";"Male";17;"Grade 12";"True";65536
"S00314";"Male";18;"Grade 12";"False";65540
"S00315";"Female";17;"Grade 12";"True";65538
"S00316";"Male";17;"Grade 12";"True";65539
"S00317";"Male";17;"Grade 12";"False";65536
"S00318";"Male";17;"Grade 12";"False";65536
"S00319";"Female";14;"Grade 10";"False";65539
"S00320";"Female";16;"Grade 11";"False";65537
"S00321";"Male";17;"Grade 12";"False";65539
"S00322";"Male";15;"Grade 10";"False";65539
"S00323";"Male";17;"Grade 12";"True";65536
"S00324";"Male";16;"Grade 11";"False";65536
"S00325";"Male";16;"Grade 11";"False";65536
"S00326";"Male";16;"Grade 11";"False";65539
"S00327";"Female";15;"Grade 10";"False";65536
"S00328";"Female";16;"Grade 11";"False";65536
"S00329";"Male";16;"Grade 11";"False";65536
"S00330";"Male";16;"Grade 11";"False";65537
"S00331";"Male";17;"Grade 12";"True";65539
"S00332";"Female";17;"Grade 12";"False";65540
"S00333";"Male";16;"Grade 11";"True";65540
"S00334";"Female";16;"Grade 11";"False";65539
"S00335";"Female";17;"Grade 12";"True";65538
"S00336";"Female";17;"Grade 12";"False";65540
"S00337";"Male";16;"Grade 11";"False";65536
"S00338";"Male";17;"Grade 12";"False";65538
"S00339";"Male";16;"Grade 11";"True";65540
"S00340";"Male";15;"Grade 10";"True";65539
"S00341";"Male";15;"Grade 11";"False";65537
"S00342";"Male";16;"Grade 11";"False";65540
"S00343";"Male";16;"Grade 11";"False";65539
"S00344";"Male";15;"Grade 10";"False";65540
"S00345";"Female";17;"Grade 12";"False";65537
"S00346";"Male";15;"Grade 10";"True";65536
"S00347";"Male";16;"Grade 11";"False";65537
"S00348";"Male";17;"Grade 12";"False";65536
"S00349";"Male";16;"Grade 11";"False";65536
"S00350";"Female";16;"Grade 11";"True";65537
"S00351";"Male";15;"Grade 10";"False";65539
"S00352";"Male";16;"Grade 12";"False";65536
"S00353";"Male";16;"Grade 11";"False";65536
"S00354";"Male";16;"Grade 11";"True";65538
"S00355";"Male";17;"Grade 12";"False";65536
"S00356";"Female";18;"Grade 12";"True";65536
"S00357";"Male";16;"Grade 11";"False";65539
"S00358";"Male";15;"Grade 10";"False";65536
"S00359";"Male";17;"Grade 12";"False";65538
"S00360";"Female";17;"Grade 12";"False";65538
"S00361";"Male";17;"Grade 12";"False";65537
"S00362";"Female";17;"Grade 11";"True";65539
"S00363";"Male";17;"Grade 12";"False";65537
"S00364";"Male";17;"Grade 12";"False";65536
"S00365";"Female";16;"Grade 11";"False";65536
"S00366";"Male";17;"Grade 12";"False";65539
"S00367";"Female";15;"Grade 10";"False";65538
"S00368";"Male";16;"Grade 11";"False";65540
"S00369";"Female";16;"Grade 11";"False";65536
"S00370";"Female";16;"Grade 11";"True";65540
"S00371";"Female";16;"Grade 11";"False";65536
"S00372";"Male";16;"Grade 11";"False";65538
"S00373";"Female";16;"Grade 11";"False";65537
"S00374";"Male";15;"Grade 10";"False";65536
"S00375";"Male";17;"Grade 12";"False";65540
"S00376";"Male";17;"Grade 11";"False";65538
"S00377";"Female";16;"Grade 11";"False";65537
"S00378";"Female";16;"Grade 11";"False";65536
"S00379";"Male";16;"Grade 11";"False";65536
"S00380";"Male";16;"Grade 11";"True";65538
"S00381";"Female";17;"Grade 12";"True";65538
"S00382";"Male";16;"Grade 12";"False";65539
"S00383";"Female";17;"Grade 12";"True";65536
"S00384";"Male";16;"Grade 11";"False";65538
"S00385";"Female";16;"Grade 11";"False";65536
"S00386";"Female";18;"Grade 12";"False";65540
"S00387";"Female";16;"Grade 11";"False";65537
"S00388";"Male";17;"Grade 12";"False";65537
"S00389";"Male";16;"Grade 11";"False";65539
"S00390";"Male";15;"Grade 10";"False";65538
"S00391";"Male";17;"Grade 12";"False";65539
"S00392";"Male";16;"Grade 11";"True";65536
"S00393";"Male";15;"Grade 10";"False";65536
"S00394";"Female";16;"Grade 11";"False";65538
"S00395";"Male";16;"Grade 11";"False";65536
"S00396";"Female";16;"Grade 11";"False";65537
"S00397";"Male";16;"Grade 11";"False";65536
"S00398";"Male";16;"Grade 11";"False";65536
"S00399";"Male";16;"Grade 11";"False";65539
"S00400";"Male";16;"Grade 11";"False";65536
"S00401";"Male";17;"Grade 12";"False";65539
"S00402";"Female";14;"Grade 10";"False";65536
"S00403";"Male";16;"Grade 11";"False";65536
"S00404";"Female";17;"Grade 12";"False";65538
"S00405";"Female";16;"Grade 11";"True";65538
"S00406";"Male";16;"Grade 11";"False";65539
"S00407";"Male";16;"Grade 11";"False";65539
"S00408";"Male";16;"Grade 11";"False";65536
"S00409";"Male";16;"Grade 11";"False";65538
"S00410";"Male";16;"Grade 11";"False";65537
"S00411";"Male";16;"Grade 11";"False";65536
"S00412";"Male";16;"Grade 11";"False";65536
"S00413";"Male";17;"Grade 11";"False";65536
"S00414";"Male";15;"Grade 11";"False";65537
"S00415";"Male";16;"Grade 11";"True";65538
"S00416";"Male";17;"Grade 12";"False";65537
"S00417";"Male";16;"Grade 11";"False";65539
"S00418";"Male";16;"Grade 11";"True";65538
"S00419";"Male";16;"Grade 11";"True";65539
"S00420";"Male";16;"Grade 11";"True";65536
"S00421";"Female";16;"Grade 11";"False";65537
"S00422";"Female";16;"Grade 11";"False";65540
"S00423";"Male";16;"Grade 11";"False";65536
"S00424";"Male";14;"Grade 10";"True";65536
"S00425";"Male";17;"Grade 12";"False";65537
"S00426";"Male";15;"Grade 10";"False";65538
"S00427";"Female";16;"Grade 11";"False";65540
"S00428";"Male";15;"Grade 10";"False";65540
"S00429";"Female";15;"Grade 10";"False";65536
"S00430";"Male";15;"Grade 10";"False";65539
"S00431";"Male";17;"Grade 12";"True";65538
"S00432";"Female";16;"Grade 11";"False";65536
"S00433";"Male";16;"Grade 11";"False";65536
"S00434";"Female";16;"Grade 11";"False";65538
"S00435";"Male";15;"Grade 10";"False";65538
"S00436";"Male";17;"Grade 12";"False";65536
"S00437";"Male";15;"Grade 10";"True";65536
"S00438";"Male";16;"Grade 11";"False";65537
"S00439";"Female";16;"Grade 11";"False";65538
"S00440";"Male";14;"Grade 10";"False";65539
"S00441";"Male";15;"Grade 10";"False";65536
"S00442";"Female";15;"Grade 10";"False";65536
"S00443";"Female";16;"Grade 11";"True";65537
"S00444";"Male";16;"Grade 11";"False";65537
"S00445";"Male";16;"Grade 11";"True";65537
"S00446";"Male";16;"Grade 11";"False";65537
"S00447";"Female";17;"Grade 11";"False";65536
"S00448";"Female";17;"Grade 12";"False";65537
"S00449";"Female";16;"Grade 11";"True";65536
"S00450";"Female";15;"Grade 10";"False";65536
"S00451";"Male";17;"Grade 12";"False";65540
"S00452";"Female";16;"Grade 11";"False";65539
"S00453";"Male";16;"Grade 11";"False";65539
"S00454";"Male";16;"Grade 11";"False";65538
"S00455";"Female";15;"Grade 10";"True";65537
"S00456";"Male";17;"Grade 12";"False";65536
"S00457";"Female";17;"Grade 12";"False";65538
"S00458";"Male";16;"Grade 11";"False";65540
"S00459";"Female";16;"Grade 11";"False";65539
"S00460";"Female";16;"Grade 11";"False";65536
"S00461";"Male";16;"Grade 11";"False";65538
"S00462";"Male";17;"Grade 12";"False";65536
"S00463";"Male";15;"Grade 10";"True";65540
"S00464";"Female";16;"Grade 11";"False";65536
"S00465";"Male";14;"Grade 10";"False";65540
"S00466";"Male";17;"Grade 11";"False";65536
"S00467";"Male";16;"Grade 11";"False";65536
"S00468";"Male";16;"Grade 11";"False";65537
"S00469";"Female";15;"Grade 10";"False";65538
"S00470";"Male";16;"Grade 11";"False";65539
"S00471";"Male";15;"Grade 10";"False";65536
"S00472";"Female";15;"Grade 11";"False";65536
"S00473";"Male";16;"Grade 11";"False";65536
"S00474";"Female";15;"Grade 10";"True";65538
"S00475";"Female";15;"Grade 10";"False";65538
"S00476";"Female";15;"Grade 11";"False";65537
"S00477";"Female";16;"Grade 11";"False";65539
"S00478";"Female";15;"Grade 10";"False";65539
"S00479";"Female";17;"Grade 12";"False";65538
"S00480";"Male";15;"Grade 10";"False";65538
"S00481";"Male";15;"Grade 10";"True";65536
"S00482";"Male";17;"Grade 12";"False";65540
"S00483";"Male";15;"Grade 10";"False";65540
"S00484";"Male";18;"Grade 12";"False";65536
"S00485";"Male";16;"Grade 11";"False";65536
"S00486";"Male";16;"Grade 11";"False";65536
"S00487";"Male";17;"Grade 12";"True";65537
"S00488";"Female";15;"Grade 10";"True";65537
"S00489";"Female";16;"Grade 11";"False";65536
"S00490";"Male";15;"Grade 10";"False";65538
"S00491";"Male";16;"Grade 11";"False";65540
"S00492";"Male";16;"Grade 11";"False";65538
"S00493";"Female";16;"Grade 11";"False";65537
"S00494";"Male";16;"Grade 11";"True";65536
"S00495";"Male";16;"Grade 11";"False";65539
"S00496";"Male";16;"Grade 11";"False";65536
"S00497";"Male";15;"Grade 10";"False";65537
"S00498";"Male";15;"Grade 10";"True";65536
"S00499";"Male";16;"Grade 11";"False";65536
"S00500";"Male";17;"Grade 12";"False";65538
"S00501";"Male";15;"Grade 10";"True";65540
"S00502";"Male";16;"Grade 11";"False";65536
"S00503";"Male";17;"Grade 12";"False";65536
"S00504";"Female";17;"Grade 12";"False";65536
"S00505";"Male";15;"Grade 10";"False";65537
"S00506";"Female";17;"Grade 12";"False";65536
"S00507";"Female";17;"Grade 12";"False";65540
"S00508";"Male";16;"Grade 11";"False";65536
"S00509";"Male";15;"Grade 10";"False";65538
"S00510";"Male";16;"Grade 11";"True";65538
"S00511";"Male";15;"Grade 10";"False";65536
"S00512";"Male";17;"Grade 12";"False";65538
"S00513";"Female";15;"Grade 10";"False";65536
"S00514";"Female";16;"Grade 11";"False";65536
"S00515";"Male";15;"Grade 10";"False";65538
"S00516";"Female";15;"Grade 10";"False";65537
"S00517";"Male";16;"Grade 11";"False";65539
"S00518";"Male";17;"Grade 12";"False";65538
"S00519";"Female";15;"Grade 10";"False";65537
"S00520";"Female";17;"Grade 12";"False";65540
"S00521";"Male";16;"Grade 11";"False";65540
"S00522";"Male";17;"Grade 12";"False";65537
"S00523";"Male";16;"Grade 11";"True";65538
"S00524";"Female";15;"Grade 11";"True";65537
"S00525";"Male";15;"Grade 10";"False";65539
"S00526";"Male";15;"Grade 10";"False";65536
"S00527";"Male";16;"Grade 11";"False";65536
"S00528";"Female";15;"Grade 10";"False";65539
"S00529";"Male";16;"Grade 11";"False";65537
"S00530";"Male";18;"Grade 12";"True";65539
"S00531";"Male";16;"Grade 11";"False";65537
"S00532";"Male";16;"Grade 11";"True";65536
"S00533";"Male";16;"Grade 11";"True";65536
"S00534";"Male";16;"Grade 11";"False";65537
"S00535";"Male";18;"Grade 12";"False";65536
"S00536";"Male";14;"Grade 10";"False";65538
"S00537";"Male";16;"Grade 11";"True";65537
"S00538";"Female";18;"Grade 12";"False";65536
"S00539";"Female";15;"Grade 10";"False";65537
"S00540";"Female";16;"Grade 11";"False";65536
"S00541";"Male";15;"Grade 10";"True";65539
"S00542";"Male";15;"Grade 10";"False";65536
"S00543";"Male";16;"Grade 11";"False";65536
"S00544";"Male";16;"Grade 11";"False";65536
"S00545";"Female";15;"Grade 10";"True";65540
"S00546";"Male";17;"Grade 12";"False";65538
"S00547";"Female";15;"Grade 10";"False";65536
"S00548";"Female";18;"Grade 12";"False";65536
"S00549";"Male";15;"Grade 10";"True";65537
"S00550";"Male";17;"Grade 12";"False";65538
"S00551";"Female";18;"Grade 12";"False";65539
"S00552";"Male";16;"Grade 11";"False";65537
"S00553";"Male";17;"Grade 12";"False";65537
"S00554";"Male";16;"Grade 11";"False";65536
"S00555";"Female";16;"Grade 11";"False";65537
"S00556";"Male";17;"Grade 12";"False";65538
"S00557";"Male";17;"Grade 12";"False";65536
"S00558";"Male";16;"Grade 11";"False";65538
"S00559";"Male";17;"Grade 12";"True";65536
"S00560";"Female";16;"Grade 11";"False";65536
"S00561";"Male";17;"Grade 12";"True";65540
"S00562";"Male";15;"Grade 10";"False";65537
"S00563";"Female";17;"Grade 12";"False";65536
"S00564";"Female";17;"Grade 12";"False";65536
"S00565";"Male";16;"Grade 11";"False";65536
"S00566";"Female";17;"Grade 12";"True";65536
"S00567";"Male";17;"Grade 12";"False";65538
"S00568";"Female";16;"Grade 11";"False";65537
"S00569";"Female";15;"Grade 10";"True";65539
"S00570";"Female";17;"Grade 12";"False";65537
"S00571";"Female";16;"Grade 11";"False";65538
"S00572";"Male";14;"Grade 10";"False";65540
"S00573";"Male";16;"Grade 11";"False";65538
"S00574";"Male";17;"Grade 12";"False";65538
"S00575";"Female";15;"Grade 11";"False";65539
"S00576";"Male";17;"Grade 12";"False";65539
"S00577";"Male";16;"Grade 11";"False";65538
"S00578";"Female";16;"Grade 11";"True";65538
"S00579";"Male";16;"Grade 11";"False";65536
"S00580";"Female";16;"Grade 11";"False";65536
