"ParentID";"StudentID";"ParentEducationLevel"
40070;"S00070";"Associate"
40071;"S00071";"Master"
40072;"S00072";"Bachelor"
40073;"S00073";"Master"
40074;"S00074";"Doctorate"
40075;"S00075";"Master"
40076;"S00076";"Doctorate"
40077;"S00077";"Doctorate"
40078;"S00078";"Bachelor"
40079;"S00079";"High School"
40080;"S00080";"Associate"
40081;"S00081";"Doctorate"
40082;"S00082";"Master"
40083;"S00083";"Master"
40084;"S00084";"Bachelor"
40085;"S00085";"Bachelor"
40086;"S00086";"Doctorate"
40087;"S00087";"Master"
40088;"S00088";"Master"
40089;"S00089";"Bachelor"
40090;"S00090";"Doctorate"
40091;"S00091";"Bachelor"
40092;"S00092";"High School"
40093;"S00093";"High School"
40094;"S00094";"Doctorate"
40095;"S00095";"Doctorate"
40096;"S00096";"Associate"
40097;"S00097";"Associate"
40098;"S00098";"Master"
40099;"S00099";"Associate"
40100;"S00100";"Associate"
40101;"S00101";"Master"
40102;"S00102";"High School"
40103;"S00103";"Bachelor"
40104;"S00104";"High School"
40105;"S00105";"Doctorate"
40106;"S00106";"Doctorate"
40107;"S00107";"Associate"
40108;"S00108";"Master"
40109;"S00109";"Associate"
40110;"S00110";"Master"
40111;"S00111";"High School"
40112;"S00112";"Bachelor"
40113;"S00113";"High School"
40114;"S00114";"Associate"
40115;"S00115";"Associate"
40116;"S00116";"High School"
40117;"S00117";"Associate"
40118;"S00118";"Doctorate"
40119;"S00119";"Bachelor"
40120;"S00120";"Doctorate"
40121;"S00121";"Bachelor"
40122;"S00122";"High School"
40123;"S00123";"Doctorate"
40124;"S00124";"Doctorate"
40125;"S00125";"Bachelor"
40126;"S00126";"Bachelor"
40127;"S00127";"Associate"
40128;"S00128";"Doctorate"
40129;"S00129";"Master"
40130;"S00130";"Master"
40131;"S00131";"High School"
40132;"S00132";"Bachelor"
40133;"S00133";"Master"
40134;"S00134";"Bachelor"
40135;"S00135";"High School"
40136;"S00136";"Doctorate"
40137;"S00137";"Associate"
40138;"S00138";"Bachelor"
40139;"S00139";"Bachelor"
40140;"S00140";"Doctorate"
40141;"S00141";"Associate"
40142;"S00142";"Associate"
40143;"S00143";"High School"
40144;"S00144";"Bachelor"
40145;"S00145";"High School"
40146;"S00146";"Doctorate"
40147;"S00147";"Doctorate"
40148;"S00148";"Associate"
40149;"S00149";"High School"
40150;"S00150";"High School"
40151;"S00151";"Master"
40152;"S00152";"Doctorate"
40153;"S00153";"Master"
40154;"S00154";"Bachelor"
40155;"S00155";"Bachelor"
40156;"S00156";"Associate"
40157;"S00157";"Master"
40158;"S00158";"Master"
40159;"S00159";"Bachelor"
40160;"S00160";"Doctorate"
40161;"S00161";"Bachelor"
40162;"S00162";"Master"
40163;"S00163";"Doctorate"
40164;"S00164";"Doctorate"
40165;"S00165";"Associate"
40166;"S00166";"High School"
40167;"S00167";"Master"
40168;"S00168";"Doctorate"
40169;"S00169";"Bachelor"
40170;"S00170";"Doctorate"
40171;"S00171";"Bachelor"
40172;"S00172";"Master"
40173;"S00173";"High School"
40174;"S00174";"Master"
40175;"S00175";"Bachelor"
40176;"S00176";"Doctorate"
40177;"S00177";"Associate"
40178;"S00178";"Doctorate"
40179;"S00179";"Bachelor"
40180;"S00180";"Bachelor"
40181;"S00181";"Bachelor"
40182;"S00182";"Associate"
40183;"S00183";"Bachelor"
40184;"S00184";"Associate"
40185;"S00185";"Associate"
40186;"S00186";"High School"
40187;"S00187";"Master"
40188;"S00188";"Doctorate"
40189;"S00189";"Associate"
40190;"S00190";"Associate"
40191;"S00191";"Master"
40192;"S00192";"Doctorate"
40193;"S00193";"Doctorate"
40194;"S00194";"Bachelor"
40195;"S00195";"Associate"
40196;"S00196";"High School"
40197;"S00197";"High School"
40198;"S00198";"Master"
40199;"S00199";"High School"
40200;"S00200";"Bachelor"
40201;"S00201";"Associate"
40202;"S00202";"Bachelor"
40203;"S00203";"Associate"
40204;"S00204";"High School"
40205;"S00205";"Master"
40206;"S00206";"Associate"
40207;"S00207";"Bachelor"
40208;"S00208";"Associate"
40209;"S00209";"Bachelor"
40210;"S00210";"Bachelor"
40211;"S00211";"Doctorate"
40212;"S00212";"Master"
40213;"S00213";"Bachelor"
40214;"S00214";"High School"
40215;"S00215";"Associate"
40216;"S00216";"Bachelor"
40217;"S00217";"Bachelor"
40218;"S00218";"Doctorate"
40219;"S00219";"Associate"
40220;"S00220";"Associate"
40221;"S00221";"Bachelor"
40222;"S00222";"High School"
40223;"S00223";"Bachelor"
40224;"S00224";"Bachelor"
40225;"S00225";"Associate"
40226;"S00226";"Doctorate"
40227;"S00227";"Master"
40228;"S00228";"Associate"
40229;"S00229";"Master"
40230;"S00230";"High School"
40231;"S00231";"Master"
40232;"S00232";"High School"
40233;"S00233";"High School"
40234;"S00234";"Associate"
40235;"S00235";"Doctorate"
40236;"S00236";"High School"
40237;"S00237";"Bachelor"
40238;"S00238";"Master"
40239;"S00239";"Master"
40240;"S00240";"High School"
40241;"S00241";"Bachelor"
40242;"S00242";"Bachelor"
40243;"S00243";"Associate"
40244;"S00244";"Doctorate"
40245;"S00245";"Bachelor"
40246;"S00246";"Associate"
40247;"S00247";"Doctorate"
40248;"S00248";"Doctorate"
40249;"S00249";"Bachelor"
40250;"S00250";"Master"
40251;"S00251";"Master"
40252;"S00252";"High School"
40253;"S00253";"Associate"
40254;"S00254";"Master"
40255;"S00255";"Associate"
40256;"S00256";"High School"
40257;"S00257";"Bachelor"
40258;"S00258";"Bachelor"
40259;"S00259";"Master"
40260;"S00260";"Master"
40261;"S00261";"Doctorate"
40262;"S00262";"Master"
40263;"S00263";"High School"
40264;"S00264";"High School"
40265;"S00265";"Bachelor"
40266;"S00266";"Master"
40267;"S00267";"Associate"
40268;"S00268";"Doctorate"
40269;"S00269";"Associate"
40270;"S00270";"Bachelor"
40271;"S00271";"Bachelor"
40272;"S00272";"Master"
40273;"S00273";"Associate"
40274;"S00274";"High School"
40275;"S00275";"Master"
40276;"S00276";"Doctorate"
40277;"S00277";"Associate"
40278;"S00278";"Master"
40279;"S00279";"Doctorate"
40280;"S00280";"Doctorate"
40281;"S00281";"Bachelor"
40282;"S00282";"High School"
40283;"S00283";"Bachelor"
40284;"S00284";"Associate"
40285;"S00285";"Doctorate"
40286;"S00286";"High School"
40287;"S00287";"Bachelor"
40288;"S00288";"Doctorate"
40289;"S00289";"High School"
40290;"S00290";"Bachelor"
40291;"S00291";"Doctorate"
40292;"S00292";"Associate"
40293;"S00293";"Associate"
40294;"S00294";"Bachelor"
40295;"S00295";"Bachelor"
40296;"S00296";"High School"
40297;"S00297";"High School"
40298;"S00298";"Doctorate"
40299;"S00299";"Associate"
40300;"S00300";"Associate"
40301;"S00301";"High School"
40302;"S00302";"Doctorate"
40303;"S00303";"High School"
40304;"S00304";"Bachelor"
40305;"S00305";"Bachelor"
40306;"S00306";"Master"
40307;"S00307";"High School"
40308;"S00308";"Doctorate"
40309;"S00309";"Associate"
40310;"S00310";"Master"
40311;"S00311";"Master"
40312;"S00312";"Associate"
40313;"S00313";"Bachelor"
40314;"S00314";"Doctorate"
40315;"S00315";"Bachelor"
40316;"S00316";"Associate"
40317;"S00317";"Master"
40318;"S00318";"Master"
40319;"S00319";"Bachelor"
40320;"S00320";"Bachelor"
40321;"S00321";"Doctorate"
40322;"S00322";"Bachelor"
40323;"S00323";"High School"
40324;"S00324";"Doctorate"
40325;"S00325";"Master"
40326;"S00326";"Master"
40327;"S00327";"Master"
40328;"S00328";"High School"
40329;"S00329";"High School"
40330;"S00330";"Associate"
40331;"S00331";"Associate"
40332;"S00332";"Bachelor"
40333;"S00333";"High School"
40334;"S00334";"Associate"
40335;"S00335";"Master"
40336;"S00336";"Associate"
40337;"S00337";"Associate"
40338;"S00338";"High School"
40339;"S00339";"Doctorate"
40340;"S00340";"Doctorate"
40341;"S00341";"Associate"
40342;"S00342";"Bachelor"
40343;"S00343";"Associate"
40344;"S00344";"Master"
40345;"S00345";"Master"
40346;"S00346";"Associate"
40347;"S00347";"Bachelor"
40348;"S00348";"Master"
40349;"S00349";"Bachelor"
40350;"S00350";"Master"
40351;"S00351";"High School"
40352;"S00352";"Associate"
40353;"S00353";"Bachelor"
40354;"S00354";"Bachelor"
40355;"S00355";"Bachelor"
40356;"S00356";"Associate"
40357;"S00357";"High School"
40358;"S00358";"Bachelor"
40359;"S00359";"Master"
40360;"S00360";"Doctorate"
40361;"S00361";"Bachelor"
40362;"S00362";"Doctorate"
40363;"S00363";"High School"
40364;"S00364";"Master"
40365;"S00365";"Associate"
40366;"S00366";"Master"
40367;"S00367";"Bachelor"
40368;"S00368";"Doctorate"
40369;"S00369";"Master"
40370;"S00370";"Master"
40371;"S00371";"Doctorate"
40372;"S00372";"High School"
40373;"S00373";"Bachelor"
40374;"S00374";"Associate"
40375;"S00375";"Bachelor"
40376;"S00376";"High School"
40377;"S00377";"Associate"
40378;"S00378";"Bachelor"
40379;"S00379";"Doctorate"
40380;"S00380";"Associate"
40381;"S00381";"Associate"
40382;"S00382";"High School"
40383;"S00383";"Master"
40384;"S00384";"Associate"
40385;"S00385";"Associate"
40386;"S00386";"Doctorate"
40387;"S00387";"Bachelor"
40388;"S00388";"Doctorate"
40389;"S00389";"Bachelor"
40390;"S00390";"Bachelor"
40391;"S00391";"Associate"
40392;"S00392";"High School"
40393;"S00393";"Bachelor"
40394;"S00394";"Master"
40395;"S00395";"High School"
40396;"S00396";"High School"
40397;"S00397";"Master"
40398;"S00398";"Bachelor"
40399;"S00399";"Bachelor"
40400;"S00400";"Doctorate"
40401;"S00401";"Doctorate"
40402;"S00402";"Bachelor"
40403;"S00403";"Associate"
40404;"S00404";"Doctorate"
40405;"S00405";"Associate"
40406;"S00406";"Bachelor"
40407;"S00407";"Master"
40408;"S00408";"Associate"
40409;"S00409";"Doctorate"
40410;"S00410";"Associate"
40411;"S00411";"Bachelor"
40412;"S00412";"Master"
40413;"S00413";"Doctorate"
40414;"S00414";"Doctorate"
40415;"S00415";"Bachelor"
40416;"S00416";"Bachelor"
40417;"S00417";"High School"
40418;"S00418";"Bachelor"
40419;"S00419";"Bachelor"
40420;"S00420";"Bachelor"
40421;"S00421";"Bachelor"
40422;"S00422";"Bachelor"
40423;"S00423";"Bachelor"
40424;"S00424";"Bachelor"
40425;"S00425";"High School"
40426;"S00426";"Doctorate"
40427;"S00427";"Associate"
40428;"S00428";"Associate"
40429;"S00429";"Bachelor"
40430;"S00430";"High School"
40431;"S00431";"Associate"
40432;"S00432";"Doctorate"
40433;"S00433";"Master"
40434;"S00434";"Associate"
40435;"S00435";"Bachelor"
40436;"S00436";"Master"
40437;"S00437";"High School"
40438;"S00438";"Associate"
40439;"S00439";"High School"
40440;"S00440";"Bachelor"
40441;"S00441";"Bachelor"
40442;"S00442";"High School"
40443;"S00443";"Bachelor"
40444;"S00444";"Bachelor"
40445;"S00445";"Master"
40446;"S00446";"Bachelor"
40447;"S00447";"Doctorate"
40448;"S00448";"Associate"
40449;"S00449";"Bachelor"
40450;"S00450";"High School"
40451;"S00451";"Bachelor"
40452;"S00452";"High School"
40453;"S00453";"Associate"
40454;"S00454";"High School"
40455;"S00455";"Associate"
40456;"S00456";"Bachelor"
40457;"S00457";"Master"
40458;"S00458";"Doctorate"
40459;"S00459";"Master"
40460;"S00460";"Associate"
40461;"S00461";"Master"
40462;"S00462";"Doctorate"
40463;"S00463";"Associate"
40464;"S00464";"High School"
40465;"S00465";"Doctorate"
40466;"S00466";"Doctorate"
40467;"S00467";"High School"
40468;"S00468";"Bachelor"
40469;"S00469";"High School"
40470;"S00470";"Associate"
40471;"S00471";"Master"
40472;"S00472";"Bachelor"
40473;"S00473";"Master"
40474;"S00474";"Master"
40475;"S00475";"Doctorate"
40476;"S00476";"High School"
40477;"S00477";"Associate"
40478;"S00478";"High School"
40479;"S00479";"High School"
40480;"S00480";"Master"
40481;"S00481";"Master"
40482;"S00482";"Master"
40483;"S00483";"High School"
40484;"S00484";"Bachelor"
40485;"S00485";"Doctorate"
40486;"S00486";"Bachelor"
40487;"S00487";"Associate"
40488;"S00488";"High School"
40489;"S00489";"Master"
40490;"S00490";"Associate"
40491;"S00491";"Associate"
40492;"S00492";"Doctorate"
40493;"S00493";"Master"
40494;"S00494";"Associate"
40495;"S00495";"Bachelor"
40496;"S00496";"Doctorate"
40497;"S00497";"Doctorate"
40498;"S00498";"Bachelor"
40499;"S00499";"High School"
40500;"S00500";"Bachelor"
40501;"S00501";"Doctorate"
40502;"S00502";"Master"
40503;"S00503";"Master"
40504;"S00504";"Bachelor"
40505;"S00505";"Associate"
40506;"S00506";"Doctorate"
40507;"S00507";"Doctorate"
40508;"S00508";"Doctorate"
40509;"S00509";"Associate"
40510;"S00510";"Doctorate"
40511;"S00511";"Master"
40512;"S00512";"Doctorate"
40513;"S00513";"High School"
40514;"S00514";"Associate"
40515;"S00515";"Doctorate"
40516;"S00516";"Doctorate"
40517;"S00517";"Bachelor"
40518;"S00518";"Doctorate"
40519;"S00519";"Master"
40520;"S00520";"Master"
40521;"S00521";"Bachelor"
40522;"S00522";"High School"
40523;"S00523";"High School"
40524;"S00524";"High School"
40525;"S00525";"Bachelor"
40526;"S00526";"Bachelor"
40527;"S00527";"Master"
40528;"S00528";"Associate"
40529;"S00529";"Associate"
40530;"S00530";"High School"
40531;"S00531";"Associate"
40532;"S00532";"Doctorate"
40533;"S00533";"High School"
40534;"S00534";"Master"
40535;"S00535";"Associate"
40536;"S00536";"Bachelor"
40537;"S00537";"Associate"
40538;"S00538";"Master"
40539;"S00539";"High School"
40540;"S00540";"Master"
40541;"S00541";"Doctorate"
40542;"S00542";"High School"
40543;"S00543";"Master"
40544;"S00544";"Associate"
40545;"S00545";"Doctorate"
40546;"S00546";"Doctorate"
40547;"S00547";"Associate"
40548;"S00548";"High School"
40549;"S00549";"Bachelor"
40550;"S00550";"High School"
40551;"S00551";"Bachelor"
40552;"S00552";"Bachelor"
40553;"S00553";"Master"
40554;"S00554";"Associate"
40555;"S00555";"Doctorate"
40556;"S00556";"High School"
40557;"S00557";"Bachelor"
40558;"S00558";"High School"
40559;"S00559";"High School"
40560;"S00560";"Bachelor"
40561;"S00561";"High School"
40562;"S00562";"Associate"
40563;"S00563";"High School"
40564;"S00564";"Bachelor"
40565;"S00565";"High School"
40566;"S00566";"Associate"
40567;"S00567";"Bachelor"
40568;"S00568";"Master"
40569;"S00569";"Doctorate"
40570;"S00570";"High School"
40571;"S00571";"High School"
40572;"S00572";"High School"
40573;"S00573";"Associate"
40574;"S00574";"Doctorate"
40575;"S00575";"Bachelor"
40576;"S00576";"Master"
40577;"S00577";"Associate"
40578;"S00578";"Bachelor"
40579;"S00579";"Master"
40580;"S00580";"Doctorate"
40581;"S00581";"Bachelor"
40582;"S00582";"Doctorate"
40583;"S00583";"High School"
40584;"S00584";"Bachelor"
40585;"S00585";"High School"
40586;"S00586";"Associate"
40587;"S00587";"Bachelor"
40588;"S00588";"Bachelor"
40589;"S00589";"Bachelor"
40590;"S00590";"Doctorate"
40591;"S00591";"High School"
40592;"S00592";"Master"
40593;"S00593";"Bachelor"
40594;"S00594";"Bachelor"
40595;"S00595";"Bachelor"
40596;"S00596";"Associate"
40597;"S00597";"Associate"
40598;"S00598";"Master"
40599;"S00599";"High School"
40600;"S00600";"Doctorate"
40601;"S00601";"Associate"
40602;"S00602";"High School"
40603;"S00603";"Bachelor"
40604;"S00604";"Doctorate"
40605;"S00605";"Doctorate"
40606;"S00606";"Bachelor"
40607;"S00607";"Doctorate"
40608;"S00608";"Associate"
40609;"S00609";"Associate"
40610;"S00610";"Bachelor"
40611;"S00611";"Bachelor"
40612;"S00612";"High School"
40613;"S00613";"Doctorate"
40614;"S00614";"Doctorate"
40615;"S00615";"Bachelor"
40616;"S00616";"Master"
40617;"S00617";"Doctorate"
40618;"S00618";"Master"
40619;"S00619";"Bachelor"
40620;"S00620";"High School"
40621;"S00621";"Doctorate"
40622;"S00622";"Doctorate"
40623;"S00623";"Master"
40624;"S00624";"Master"
40625;"S00625";"Bachelor"
40626;"S00626";"Master"
40627;"S00627";"Doctorate"
40628;"S00628";"Doctorate"
40629;"S00629";"Master"
40630;"S00630";"Associate"
40631;"S00631";"High School"
40632;"S00632";"Master"
40633;"S00633";"Doctorate"
40634;"S00634";"Master"
40635;"S00635";"Master"
40636;"S00636";"Master"
40637;"S00637";"High School"
40638;"S00638";"Master"
40639;"S00639";"Master"
40640;"S00640";"Associate"
40641;"S00641";"Bachelor"
40642;"S00642";"Doctorate"
40643;"S00643";"Doctorate"
40644;"S00644";"Associate"
40645;"S00645";"Bachelor"
40646;"S00646";"Associate"
40647;"S00647";"Doctorate"
40648;"S00648";"Bachelor"
40649;"S00649";"Bachelor"
40650;"S00650";"High School"
40651;"S00651";"Bachelor"
40652;"S00652";"Associate"
40653;"S00653";"High School"
40654;"S00654";"Master"
40655;"S00655";"High School"
40656;"S00656";"Bachelor"
40657;"S00657";"High School"
40658;"S00658";"Doctorate"
40659;"S00659";"Master"
40660;"S00660";"Master"
40661;"S00661";"Doctorate"
40662;"S00662";"Bachelor"
40663;"S00663";"Associate"
40664;"S00664";"High School"
40665;"S00665";"High School"
40666;"S00666";"Bachelor"
40667;"S00667";"Associate"
40668;"S00668";"Bachelor"
40669;"S00669";"Associate"
40670;"S00670";"Master"
40671;"S00671";"Associate"
40672;"S00672";"Bachelor"
40673;"S00673";"High School"
40674;"S00674";"Master"
40675;"S00675";"Doctorate"
40676;"S00676";"Bachelor"
40677;"S00677";"Master"
40678;"S00678";"Master"
40679;"S00679";"Associate"
40680;"S00680";"Associate"
40681;"S00681";"High School"
40682;"S00682";"Master"
40683;"S00683";"Doctorate"
40684;"S00684";"Associate"
40685;"S00685";"Bachelor"
40686;"S00686";"High School"
40687;"S00687";"Bachelor"
40688;"S00688";"Doctorate"
40689;"S00689";"High School"
40690;"S00690";"Associate"
40691;"S00691";"High School"
40692;"S00692";"High School"
40693;"S00693";"Doctorate"
40694;"S00694";"Master"
40695;"S00695";"Associate"
40696;"S00696";"Bachelor"
40697;"S00697";"Master"
40698;"S00698";"Bachelor"
40699;"S00699";"High School"
40700;"S00700";"Doctorate"
40701;"S00701";"Bachelor"
40702;"S00702";"Master"
40703;"S00703";"High School"
40704;"S00704";"Doctorate"
40705;"S00705";"Associate"
40706;"S00706";"Bachelor"
40707;"S00707";"Associate"
40708;"S00708";"High School"
40709;"S00709";"Bachelor"
40710;"S00710";"Doctorate"
40711;"S00711";"Master"
40712;"S00712";"Master"
40713;"S00713";"Master"
40714;"S00714";"High School"
40715;"S00715";"High School"
40716;"S00716";"Doctorate"
40717;"S00717";"High School"
40718;"S00718";"Doctorate"
40719;"S00719";"Bachelor"
40720;"S00720";"Bachelor"
40721;"S00721";"Associate"
40722;"S00722";"High School"
40723;"S00723";"Bachelor"
40724;"S00724";"Bachelor"
40725;"S00725";"Bachelor"
40726;"S00726";"High School"
40727;"S00727";"Master"
40728;"S00728";"Master"
40729;"S00729";"Associate"
40730;"S00730";"High School"
40731;"S00731";"Associate"
40732;"S00732";"Associate"
40733;"S00733";"Bachelor"
40734;"S00734";"Associate"
40735;"S00735";"Bachelor"
40736;"S00736";"High School"
40737;"S00737";"Doctorate"
40738;"S00738";"Associate"
40739;"S00739";"Bachelor"
40740;"S00740";"Doctorate"
40741;"S00741";"Doctorate"
40742;"S00742";"Associate"
40743;"S00743";"Master"
40744;"S00744";"Associate"
40745;"S00745";"Master"
40746;"S00746";"Master"
40747;"S00747";"Bachelor"
40748;"S00748";"High School"
40749;"S00749";"High School"
40750;"S00750";"Bachelor"
40751;"S00751";"Bachelor"
40752;"S00752";"Master"
40753;"S00753";"High School"
40754;"S00754";"Master"
40755;"S00755";"High School"
40756;"S00756";"Associate"
40757;"S00757";"Associate"
40758;"S00758";"High School"
40759;"S00759";"Associate"
40760;"S00760";"Bachelor"
40761;"S00761";"Doctorate"
40762;"S00762";"Doctorate"
40763;"S00763";"Associate"
40764;"S00764";"Bachelor"
40765;"S00765";"Doctorate"
40766;"S00766";"Bachelor"
40767;"S00767";"High School"
40768;"S00768";"Master"
40769;"S00769";"High School"
40770;"S00770";"Doctorate"
40771;"S00771";"Bachelor"
40772;"S00772";"Master"
40773;"S00773";"Associate"
40774;"S00774";"Bachelor"
40775;"S00775";"Bachelor"
40776;"S00776";"High School"
40777;"S00777";"Doctorate"
40778;"S00778";"Associate"
40779;"S00779";"Doctorate"
40780;"S00780";"Bachelor"
40781;"S00781";"Master"
40782;"S00782";"Doctorate"
40783;"S00783";"Master"
40784;"S00784";"Associate"
40785;"S00785";"Associate"
40786;"S00786";"Master"
40787;"S00787";"High School"
40788;"S00788";"Bachelor"
40789;"S00789";"Master"
40790;"S00790";"Master"
40791;"S00791";"High School"
40792;"S00792";"Bachelor"
40793;"S00793";"Bachelor"
40794;"S00794";"Master"
40795;"S00795";"High School"
40796;"S00796";"Master"
40797;"S00797";"Doctorate"
40798;"S00798";"Associate"
40799;"S00799";"Doctorate"
40800;"S00800";"Associate"
40801;"S00801";"Bachelor"
40802;"S00802";"Bachelor"
40803;"S00803";"Master"
40804;"S00804";"Associate"
40805;"S00805";"Bachelor"
40806;"S00806";"Doctorate"
40807;"S00807";"Bachelor"
40808;"S00808";"Master"
40809;"S00809";"Associate"
40810;"S00810";"Master"
40811;"S00811";"Doctorate"
40812;"S00812";"Associate"
40813;"S00813";"Bachelor"
40814;"S00814";"Associate"
40815;"S00815";"High School"
40816;"S00816";"Bachelor"
40817;"S00817";"Master"
40818;"S00818";"Associate"
40819;"S00819";"Bachelor"
40820;"S00820";"Master"
40821;"S00821";"Associate"
40822;"S00822";"Master"
40823;"S00823";"Associate"
40824;"S00824";"High School"
40825;"S00825";"Master"
40826;"S00826";"Doctorate"
40827;"S00827";"Doctorate"
40828;"S00828";"Bachelor"
40829;"S00829";"Master"
40830;"S00830";"Bachelor"
40831;"S00831";"Doctorate"
40832;"S00832";"Master"
40833;"S00833";"Master"
40834;"S00834";"Bachelor"
40835;"S00835";"Doctorate"
40836;"S00836";"Doctorate"
40837;"S00837";"Bachelor"
40838;"S00838";"Bachelor"
40839;"S00839";"Master"
40840;"S00840";"Associate"
40841;"S00841";"Associate"
40842;"S00842";"Bachelor"
40843;"S00843";"Bachelor"
40844;"S00844";"Master"
40845;"S00845";"Master"
40846;"S00846";"Bachelor"
40847;"S00847";"Bachelor"
40848;"S00848";"Doctorate"
40849;"S00849";"Associate"
40850;"S00850";"Associate"
40851;"S00851";"Bachelor"
40852;"S00852";"Doctorate"
40853;"S00853";"Bachelor"
40854;"S00854";"High School"
40855;"S00855";"Associate"
40856;"S00856";"Associate"
40857;"S00857";"Doctorate"
40858;"S00858";"Associate"
40859;"S00859";"Master"
40860;"S00860";"Doctorate"
40861;"S00861";"Master"
40862;"S00862";"High School"
40863;"S00863";"Doctorate"
40864;"S00864";"Bachelor"
40865;"S00865";"Bachelor"
40866;"S00866";"High School"
40867;"S00867";"High School"
40868;"S00868";"Bachelor"
40869;"S00869";"Bachelor"
40870;"S00870";"Master"
40871;"S00871";"Bachelor"
40872;"S00872";"Bachelor"
40873;"S00873";"Doctorate"
40874;"S00874";"Doctorate"
40875;"S00875";"Doctorate"
40876;"S00876";"Doctorate"
40877;"S00877";"High School"
40878;"S00878";"Doctorate"
40879;"S00879";"High School"
40880;"S00880";"High School"
40881;"S00881";"Associate"
40882;"S00882";"High School"
40883;"S00883";"High School"
40884;"S00884";"Bachelor"
40885;"S00885";"Bachelor"
40886;"S00886";"Bachelor"
40887;"S00887";"Doctorate"
40888;"S00888";"Master"
40889;"S00889";"Bachelor"
40890;"S00890";"Bachelor"
40891;"S00891";"High School"
40892;"S00892";"Master"
40893;"S00893";"Doctorate"
40894;"S00894";"Associate"
40895;"S00895";"Associate"
40896;"S00896";"Doctorate"
40897;"S00897";"Doctorate"
40898;"S00898";"Bachelor"
40899;"S00899";"Master"
40900;"S00900";"High School"
40901;"S00901";"Doctorate"
40902;"S00902";"High School"
40903;"S00903";"Bachelor"
40904;"S00904";"Bachelor"
40905;"S00905";"Doctorate"
40906;"S00906";"Master"
40907;"S00907";"Doctorate"
40908;"S00908";"Doctorate"
40909;"S00909";"Master"
40910;"S00910";"Bachelor"
40911;"S00911";"Bachelor"
40912;"S00912";"High School"
40913;"S00913";"Bachelor"
40914;"S00914";"Bachelor"
40915;"S00915";"Doctorate"
40916;"S00916";"Doctorate"
40917;"S00917";"Bachelor"
40918;"S00918";"Bachelor"
40919;"S00919";"High School"
40920;"S00920";"Master"
40921;"S00921";"Bachelor"
40922;"S00922";"Bachelor"
40923;"S00923";"Bachelor"
40924;"S00924";"Bachelor"
40925;"S00925";"Doctorate"
40926;"S00926";"Associate"
40927;"S00927";"Associate"
40928;"S00928";"Associate"
40929;"S00929";"Associate"
40930;"S00930";"Bachelor"
40931;"S00931";"Associate"
40932;"S00932";"Doctorate"
40933;"S00933";"High School"
40934;"S00934";"Doctorate"
40935;"S00935";"Master"
40936;"S00936";"Master"
40937;"S00937";"Bachelor"
40938;"S00938";"Bachelor"
40939;"S00939";"Bachelor"
40940;"S00940";"Bachelor"
40941;"S00941";"Bachelor"
40942;"S00942";"Bachelor"
40943;"S00943";"Master"
40944;"S00944";"High School"
40945;"S00945";"Doctorate"
40946;"S00946";"Associate"
40947;"S00947";"High School"
40948;"S00948";"Master"
40949;"S00949";"Master"
40950;"S00950";"High School"
40951;"S00951";"Associate"
40952;"S00952";"Bachelor"
40953;"S00953";"High School"
40954;"S00954";"Doctorate"
40955;"S00955";"Bachelor"
40956;"S00956";"High School"
40957;"S00957";"Bachelor"
40958;"S00958";"Doctorate"
40959;"S00959";"Bachelor"
40960;"S00960";"Bachelor"
