Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Parent Education Level,Gender,Engagement Level,Grade Level,Age,Country,Performance Score,Engagement Category,Attendance Group,At Risk
S00073,9.8,70.5,71.7,Master,Female,4.0,Grade 10,15,Germany,58.96,Moderate,Moderate,False
S00074,17.8,98.4,74.0,Doctorate,Male,1.0,Grade 11,16,Spain,70.08,Low,High,False
S00075,-2.8,37.3,43.1,Master,Female,1.0,Grade 11,16,Germany,32.18,Low,Low,True
S00076,14.1,73.1,72.7,Doctorate,Male,2.0,Grade 12,17,Germany,61.1,Low,Moderate,False
S00077,10.4,86.5,67.8,Doctorate,Male,5.0,Grade 11,16,Spain,61.92999999999999,High,High,False
S00078,8.5,126.15000000000002,55.7,Bachelor,Male,1.0,Grade 12,17,England,67.39500000000001,Low,High,False
S00079,10.5,99.2,66.6,High School,Male,1.0,Grade 11,15,England,65.16,Low,High,False
S00080,0.1,77.7,63.4,Associate,Male,3.0,Grade 11,16,England,55.03,Moderate,High,False
S00081,8.9,85.4,64.7,Doctorate,Male,1.0,Grade 11,16,England,59.75,Low,High,False
S00082,11.8,37.0,67.6,Master,Male,2.0,Grade 10,15,England,47.26,Low,Low,True
S00083,17.4,75.3,39.8,Master,Male,4.0,Grade 10,15,England,45.96999999999999,Moderate,High,True
S00084,7.4,75.3,68.9,Bachelor,Female,4.0,Grade 11,17,Germany,58.52,Moderate,High,False
S00085,6.0,78.2,74.8,Bachelor,Male,2.0,Grade 11,16,France,62.06,Low,High,False
S00086,7.5,80.8,68.7,Doctorate,Male,0.0,Grade 12,17,England,60.09,Low,High,False
S00087,14.6,75.7,54.1,Master,Male,3.0,Grade 11,16,France,52.68000000000001,Moderate,High,False
S00088,11.6,74.9,52.1,Master,Male,1.0,Grade 11,16,Germany,50.84,Low,Moderate,False
S00089,7.4,77.1,67.7,Bachelor,Male,4.0,Grade 12,18,England,58.46,Moderate,High,False
S00090,12.6,53.9,77.0,Doctorate,Female,0.0,Grade 11,15,Germany,57.190000000000005,Low,Moderate,False
S00091,10.5,70.4,84.6,Bachelor,Male,2.0,Grade 10,15,England,65.52,Low,Moderate,False
S00092,14.8,75.3,76.5,High School,Female,1.0,Grade 10,15,France,63.800000000000004,Low,High,False
S00093,6.5,62.6,72.7,High School,Male,2.0,Grade 11,16,England,56.43,Low,Moderate,False
S00094,8.4,98.9,27.350000000000016,Doctorate,Female,4.0,Grade 12,17,Spain,45.02500000000001,Moderate,High,True
S00095,8.0,71.4,65.2,Doctorate,Male,1.0,Grade 12,16,Spain,55.620000000000005,Low,Moderate,False
S00096,2.7,86.9,65.2,Associate,Male,0.0,Grade 12,17,Portugal,59.21,Low,High,False
S00097,11.5,77.3,54.8,Associate,Male,0.0,Grade 11,16,Portugal,52.88999999999999,Low,High,False
S00098,11.3,67.3,102.94999999999999,Master,Male,1.0,Grade 12,17,France,73.925,Low,Moderate,False
S00099,10.0,54.8,49.1,Associate,Female,1.0,Grade 11,16,Portugal,42.989999999999995,Low,Moderate,True
S00100,8.8,67.0,91.5,Associate,Male,0.0,Grade 11,16,Germany,67.61,Low,Moderate,False
S00101,2.9,78.7,45.5,Master,Female,1.0,Grade 12,17,Spain,46.94,Low,High,True
S00102,7.9,86.6,61.8,High School,Male,1.0,Grade 10,15,Germany,58.459999999999994,Low,High,False
S00103,10.0,77.4,54.1,Bachelor,Female,4.0,Grade 11,16,England,52.27,Moderate,High,False
S00104,6.0,88.0,52.0,High School,Female,2.0,Grade 12,17,Germany,53.6,Low,High,False
S00105,9.2,44.6,71.2,Doctorate,Male,3.0,Grade 12,17,Germany,50.82000000000001,Moderate,Low,False
S00106,12.0,92.3,77.3,Doctorate,Male,0.0,Grade 11,16,Germany,68.74000000000001,Low,High,False
S00107,19.4,52.4,47.3,Associate,Male,2.0,Grade 12,17,Spain,43.25,Low,Moderate,True
S00108,10.9,94.7,65.8,Master,Male,4.0,Grade 11,16,England,63.49,Moderate,High,False
S00109,11.3,75.3,63.3,Associate,Male,1.0,Grade 11,16,Spain,56.49999999999999,Low,High,False
S00110,9.6,37.6,58.2,Master,Female,1.0,Grade 10,15,Spain,42.300000000000004,Low,Low,True
S00111,10.0,89.7,51.0,High School,Male,5.0,Grade 11,15,Germany,54.41,High,High,False
S00112,9.9,94.9,81.6,Bachelor,Female,2.0,Grade 12,17,England,71.25,Low,High,False
S00113,10.3,100.2,49.5,High School,Female,4.0,Grade 11,16,Spain,56.870000000000005,Moderate,High,False
S00114,22.3,59.6,45.5,Associate,Male,4.0,Grade 12,17,Germany,45.089999999999996,Moderate,Moderate,True
S00115,9.0,78.6,81.5,Associate,Female,5.0,Grade 11,16,France,66.13,High,High,False
S00116,11.5,88.9,68.0,High School,Male,1.0,Grade 11,16,Germany,62.97,Low,High,False
S00117,9.8,89.7,47.3,Associate,Female,1.0,Grade 10,15,Germany,52.52,Low,High,False
S00118,4.2,83.2,63.8,Doctorate,Male,1.0,Grade 12,18,France,57.7,Low,High,False
S00119,15.7,66.5,55.6,Bachelor,Female,1.0,Grade 12,17,Germany,50.89,Low,Moderate,False
S00120,13.8,94.8,87.3,Doctorate,Female,1.0,Grade 12,17,England,74.85000000000001,Low,High,False
S00121,14.0,94.9,61.4,Bachelor,Female,0.0,Grade 12,17,England,61.97,Low,High,False
S00122,5.5,71.9,73.0,High School,Male,1.0,Grade 10,15,England,59.17,Low,Moderate,False
S00123,17.0,59.3,64.7,Doctorate,Female,1.0,Grade 11,16,Germany,53.54,Low,Moderate,False
S00124,3.0,75.3,86.6,Doctorate,Male,2.0,Grade 10,15,France,66.49,Low,High,False
S00125,12.9,102.3,68.1,Bachelor,Male,1.0,Grade 11,16,Spain,67.32,Low,High,False
S00126,21.0,94.0,82.4,Bachelor,Male,2.0,Grade 11,16,England,73.60000000000001,Low,High,False
S00127,10.0,74.6,73.1,Associate,Male,0.0,Grade 10,15,Germany,60.92999999999999,Low,Moderate,False
S00128,7.2,71.0,56.7,Doctorate,Male,0.0,Grade 12,17,Spain,51.09,Low,Moderate,False
S00129,10.5,39.6,65.0,Master,Female,3.0,Grade 12,17,Germany,46.480000000000004,Moderate,Low,True
S00130,7.5,73.3,61.8,Master,Male,1.0,Grade 11,16,Spain,54.39,Low,Moderate,False
S00131,2.2,51.2,56.4,High School,Male,2.0,Grade 12,17,England,44.0,Low,Moderate,True
S00132,10.3,78.2,48.8,Bachelor,Male,2.0,Grade 11,16,England,49.92,Low,High,True
S00133,4.7,98.7,85.4,Master,Male,3.0,Grade 12,16,Germany,73.25,Moderate,High,False
S00134,12.4,55.4,34.1,Bachelor,Male,0.0,Grade 12,17,Portugal,36.150000000000006,Low,Moderate,True
S00135,5.4,79.8,85.0,High School,Male,0.0,Grade 11,16,Portugal,67.52,Low,High,False
S00136,17.7,95.0,44.9,Doctorate,Male,3.0,Grade 12,16,England,54.49,Moderate,High,False
S00137,6.1,79.4,73.1,Associate,Male,1.0,Grade 11,16,France,61.589999999999996,Low,High,False
S00138,8.4,64.5,56.2,Bachelor,Male,3.0,Grade 10,15,Germany,49.13,Moderate,Moderate,True
S00139,14.1,75.2,40.0,Bachelor,Male,4.0,Grade 11,16,France,45.38,Moderate,High,True
S00140,3.8,94.1,82.2,Doctorate,Male,4.0,Grade 10,15,England,70.09,Moderate,High,False
S00141,11.1,80.3,29.0,Associate,Female,0.0,Grade 11,16,Germany,40.81,Low,High,True
S00142,16.5,74.9,76.9,Associate,Male,3.0,Grade 11,16,Germany,64.22,Moderate,Moderate,False
S00143,2.0,98.1,66.9,High School,Male,2.0,Grade 11,16,England,63.279999999999994,Low,High,False
S00144,10.9,85.3,80.8,Bachelor,Female,2.0,Grade 12,17,England,68.17,Low,High,False
S00145,11.3,50.9,74.4,High School,Female,4.0,Grade 11,17,Spain,54.73,Moderate,Moderate,False
S00146,13.9,87.6,74.2,Doctorate,Female,0.0,Grade 11,16,Germany,66.16,Low,High,False
S00147,3.8,94.0,78.5,Doctorate,Male,0.0,Grade 11,16,England,68.21000000000001,Low,High,False
S00148,3.4,50.3,65.2,Associate,Female,1.0,Grade 11,16,England,48.37,Low,Moderate,True
S00149,12.6,29.6,65.2,High School,Female,1.0,Grade 11,16,Spain,44.00000000000001,Low,Low,True
S00150,11.5,54.2,60.0,High School,Female,0.0,Grade 11,16,Portugal,48.56,Low,Moderate,True
S00151,11.3,73.0,61.6,Master,Male,1.0,Grade 10,15,England,54.96,Low,Moderate,False
S00152,11.7,95.2,66.6,Doctorate,Female,1.0,Grade 11,16,Portugal,64.2,Low,High,False
S00153,6.6,57.2,61.0,Master,Male,2.0,Grade 11,16,Germany,48.98,Low,Moderate,True
S00154,11.2,86.1,97.8,Bachelor,Male,1.0,Grade 10,14,Germany,76.96999999999998,Low,High,False
S00155,11.5,24.149999999999984,63.7,Bachelor,Male,1.0,Grade 12,17,Germany,41.394999999999996,Low,Low,True
S00156,6.4,78.6,47.8,Associate,Female,0.0,Grade 10,15,Germany,48.76,Low,High,True
S00157,19.3,66.9,63.2,Master,Female,4.0,Grade 11,15,Germany,55.53,Moderate,Moderate,False
S00158,12.4,117.0,52.4,Master,Male,5.0,Grade 11,16,Germany,63.78,High,High,False
S00159,4.0,37.2,94.4,Bachelor,Male,3.0,Grade 11,16,Spain,59.16,Moderate,Low,False
S00160,10.0,75.3,66.5,Doctorate,Male,0.0,Grade 11,16,Germany,57.84,Low,High,False
S00161,5.1,37.0,74.5,Bachelor,Female,3.0,Grade 12,17,Spain,49.370000000000005,Moderate,Low,True
S00162,13.9,64.0,72.7,Master,Male,1.0,Grade 10,15,Germany,58.33,Low,Moderate,False
S00163,15.8,41.0,79.2,Doctorate,Female,2.0,Grade 10,15,Spain,55.06,Low,Low,False
S00164,5.9,121.0,68.6,Doctorate,Female,2.0,Grade 12,17,England,71.78,Low,High,False
S00165,14.8,67.9,59.0,Associate,Female,3.0,Grade 11,16,Germany,52.830000000000005,Moderate,Moderate,False
S00166,12.1,70.8,65.7,High School,Female,3.0,Grade 11,16,Spain,56.510000000000005,Moderate,Moderate,False
S00167,14.1,74.1,46.6,Master,Male,1.0,Grade 12,17,France,48.35,Low,Moderate,True
S00168,19.5,52.4,65.2,Doctorate,Male,2.0,Grade 11,16,France,52.22,Low,Moderate,False
S00169,8.8,96.1,91.9,Bachelor,Female,5.0,Grade 11,16,Germany,76.54,High,High,False
S00170,6.2,87.8,76.0,Doctorate,Male,4.0,Grade 12,17,Portugal,65.58,Moderate,High,False
S00171,5.6,93.4,63.4,Bachelor,Male,2.0,Grade 12,17,Spain,60.839999999999996,Low,High,False
S00172,5.9,50.6,65.2,Master,Male,1.0,Grade 12,18,France,48.96,Low,Moderate,True
S00173,9.6,97.7,55.9,High School,Male,3.0,Grade 11,16,Germany,59.18,Moderate,High,False
S00174,11.7,95.4,70.1,Master,Male,2.0,Grade 11,16,Spain,66.01,Low,High,False
S00175,11.4,70.4,60.5,Bachelor,Female,4.0,Grade 11,16,Spain,53.650000000000006,Moderate,Moderate,False
S00176,14.1,92.9,61.9,Doctorate,Male,4.0,Grade 12,17,Portugal,61.64,Moderate,High,False
S00177,10.1,80.5,70.9,Associate,Male,3.0,Grade 11,16,France,61.620000000000005,Moderate,High,False
S00178,17.3,43.1,73.6,Doctorate,Female,1.0,Grade 10,15,England,53.19,Low,Low,False
S00179,8.7,71.3,62.0,Bachelor,Female,3.0,Grade 12,17,France,54.13,Moderate,Moderate,False
S00180,10.0,65.4,52.5,Bachelor,Male,2.0,Grade 12,17,France,47.870000000000005,Low,Moderate,True
S00181,13.1,76.7,92.5,Bachelor,Male,1.0,Grade 12,17,Portugal,71.88000000000001,Low,High,False
S00182,5.7,95.4,66.5,Associate,Male,2.0,Grade 12,17,Germany,63.010000000000005,Low,High,False
S00183,4.6,75.3,49.4,Bachelor,Male,2.0,Grade 11,16,Germany,48.21,Low,High,True
S00184,12.4,66.1,49.7,Associate,Male,0.0,Grade 10,15,Germany,47.16,Low,Moderate,True
S00185,8.9,58.6,94.9,Associate,Female,2.0,Grade 11,15,England,66.81,Low,Moderate,False
S00186,13.6,59.4,102.0,High School,Male,1.0,Grade 11,16,France,71.53999999999999,Low,Moderate,False
S00187,12.4,58.5,70.0,Master,Male,2.0,Grade 11,16,England,55.03,Low,Moderate,False
S00188,9.6,76.4,55.8,Doctorate,Male,1.0,Grade 12,17,Germany,52.74,Low,High,False
S00189,5.8,85.5,65.2,Associate,Female,0.0,Grade 10,15,France,59.41,Low,High,False
S00190,2.4,82.0,60.4,Associate,Male,0.0,Grade 10,15,England,55.279999999999994,Low,High,False
S00191,7.8,78.7,73.6,Master,Male,1.0,Grade 12,18,Germany,61.97,Low,High,False
S00192,14.3,87.4,70.3,Doctorate,Male,1.0,Grade 12,17,England,64.23,Low,High,False
S00193,11.1,122.6,64.5,Doctorate,Male,5.0,Grade 10,15,Germany,71.25,High,High,False
S00194,3.8,77.7,63.7,Bachelor,Female,3.0,Grade 11,16,France,55.919999999999995,Moderate,High,False
S00195,10.9,95.4,61.7,Associate,Female,5.0,Grade 10,14,Germany,61.65,High,High,False
S00196,11.9,94.3,79.2,High School,Male,1.0,Grade 11,16,Germany,70.27,Low,High,False
S00197,5.6,110.6,62.1,High School,Male,0.0,Grade 11,16,Germany,65.35000000000001,Low,High,False
S00198,10.8,86.2,95.8,Master,Male,4.0,Grade 11,16,Portugal,75.91999999999999,Moderate,High,False
S00199,10.3,58.1,97.2,High School,Male,3.0,Grade 11,16,Germany,68.09,Moderate,Moderate,False
S00200,10.0,81.1,59.3,Bachelor,Male,4.0,Grade 11,16,Spain,55.98,Moderate,High,False
S00201,11.8,80.0,59.6,Associate,Male,4.0,Grade 11,16,Germany,56.16,Moderate,High,False
S00202,12.8,91.3,64.3,Bachelor,Female,5.0,Grade 11,16,England,62.099999999999994,High,High,False
S00203,15.4,57.5,55.4,Associate,Male,1.0,Grade 12,17,England,48.03,Low,Moderate,True
S00204,15.3,100.3,77.8,High School,Male,4.0,Grade 12,17,England,72.05,Moderate,High,False
S00205,3.1,75.1,82.8,Master,Male,5.0,Grade 11,16,Germany,64.55,High,High,False
S00206,5.3,91.8,84.3,Associate,Male,1.0,Grade 11,16,Germany,70.75,Low,High,False
S00207,12.6,81.2,61.9,Bachelor,Female,2.0,Grade 11,16,England,57.830000000000005,Low,High,False
S00208,12.6,77.5,61.7,Associate,Male,1.0,Grade 12,16,France,56.620000000000005,Low,High,False
S00209,12.6,79.7,35.1,Bachelor,Male,2.0,Grade 11,16,Germany,43.980000000000004,Low,High,True
S00210,22.799999999999997,75.3,55.1,Bachelor,Female,2.0,Grade 12,17,Germany,54.7,Low,High,False
S00211,12.9,114.2,51.0,Doctorate,Female,1.0,Grade 11,16,Germany,62.339999999999996,Low,High,False
S00212,15.7,34.7,48.4,Master,Male,3.0,Grade 12,17,Germany,37.75,Moderate,Low,True
S00213,14.8,85.8,57.7,Bachelor,Female,4.0,Grade 10,15,Spain,57.550000000000004,Moderate,High,False
S00214,13.3,75.9,60.4,High School,Male,5.0,Grade 11,16,Spain,55.629999999999995,High,High,False
S00215,8.4,71.5,64.6,Associate,Male,1.0,Grade 10,15,Germany,55.43,Low,Moderate,False
S00216,13.8,27.7,85.4,Bachelor,Female,2.0,Grade 12,17,Spain,53.77,Low,Low,False
S00217,6.1,86.6,82.5,Bachelor,Male,3.0,Grade 11,16,England,68.44999999999999,Moderate,High,False
S00218,8.8,75.3,48.1,Doctorate,Male,3.0,Grade 12,17,Germany,48.4,Moderate,High,True
S00219,7.6,58.3,71.4,Associate,Male,5.0,Grade 12,17,Germany,54.71,High,Moderate,False
S00220,10.4,75.8,53.0,Associate,Female,4.0,Grade 11,16,France,51.31999999999999,Moderate,High,False
S00221,21.6,69.1,67.2,Bachelor,Male,1.0,Grade 11,16,England,58.65,Low,Moderate,False
S00222,0.7,40.2,65.2,High School,Female,4.0,Grade 11,16,England,44.800000000000004,Moderate,Low,True
S00223,13.4,76.8,57.7,Bachelor,Male,1.0,Grade 11,16,Germany,54.57,Low,High,False
S00224,1.9,86.6,50.2,Bachelor,Female,1.0,Grade 11,16,Portugal,51.46,Low,High,False
S00225,7.6,64.0,65.8,Associate,Male,4.0,Grade 10,15,Germany,53.62,Moderate,Moderate,False
S00226,15.4,80.2,84.8,Doctorate,Female,1.0,Grade 11,16,Germany,69.53999999999999,Low,High,False
S00227,10.3,77.2,95.1,Master,Female,1.0,Grade 11,16,England,72.77,Low,High,False
S00228,4.6,95.9,55.8,Associate,Male,1.0,Grade 10,15,Germany,57.59,Low,High,False
S00229,6.4,72.9,67.0,Master,Female,1.0,Grade 11,16,England,56.650000000000006,Low,Moderate,False
S00230,10.0,91.0,69.1,High School,Female,1.0,Grade 11,16,Spain,63.849999999999994,Low,High,False
S00231,10.0,68.7,43.7,Master,Male,4.0,Grade 11,16,Germany,44.46,Moderate,Moderate,True
S00232,11.1,114.3,42.9,High School,Male,1.0,Grade 12,17,Portugal,57.959999999999994,Low,High,False
S00233,10.2,66.3,69.9,High School,Male,1.0,Grade 10,15,France,56.88,Low,Moderate,False
S00234,6.7,61.3,59.4,Associate,Male,4.0,Grade 11,16,Germany,49.43,Moderate,Moderate,True
S00235,20.7,73.0,44.0,Doctorate,Male,1.0,Grade 12,17,Germany,48.04,Low,Moderate,True
S00236,13.2,60.4,65.2,High School,Male,1.0,Grade 12,17,Spain,53.36,Low,Moderate,False
S00237,-0.1,50.0,65.9,Bachelor,Male,2.0,Grade 12,17,Germany,47.93,Low,Low,True
S00238,10.9,89.6,65.2,Master,Male,1.0,Grade 10,15,England,61.660000000000004,Low,High,False
S00239,6.7,24.149999999999984,48.6,Master,Male,3.0,Grade 11,16,Portugal,32.885,Moderate,Low,True
S00240,14.3,60.6,39.4,High School,Male,1.0,Grade 10,15,Germany,40.739999999999995,Low,Moderate,True
S00241,6.0,48.2,56.0,Bachelor,Female,3.0,Grade 12,17,Portugal,43.660000000000004,Moderate,Low,True
S00242,9.4,77.8,65.7,Bachelor,Male,0.0,Grade 12,17,Germany,58.07,Low,High,False
S00243,12.5,31.2,54.4,Associate,Male,3.0,Grade 12,17,Portugal,39.06,Moderate,Low,True
S00244,14.3,86.0,48.5,Doctorate,Male,1.0,Grade 12,17,Germany,52.91,Low,High,False
S00245,4.0,75.3,59.4,Bachelor,Female,1.0,Grade 12,18,England,53.089999999999996,Low,High,False
S00246,8.3,42.3,65.5,Associate,Male,2.0,Grade 11,16,France,47.099999999999994,Low,Low,True
S00247,7.6,78.8,86.2,Doctorate,Male,1.0,Grade 10,14,Spain,68.25999999999999,Low,High,False
S00248,6.7,85.3,67.3,Doctorate,Male,5.0,Grade 10,15,Spain,60.58,High,High,False
S00249,18.8,93.8,43.0,Bachelor,Male,2.0,Grade 10,15,England,53.4,Low,High,False
S00250,12.0,45.6,34.7,Master,Male,1.0,Grade 12,17,Portugal,33.43,Low,Low,True
S00251,3.7,42.8,28.2,Master,Male,3.0,Grade 11,16,France,27.679999999999996,Moderate,Low,True
S00252,14.6,105.1,70.1,High School,Female,4.0,Grade 10,14,Germany,69.5,Moderate,High,False
S00253,20.6,58.6,49.2,Associate,Female,4.0,Grade 12,18,France,46.3,Moderate,Moderate,True
S00254,15.2,64.5,72.5,Master,Female,1.0,Grade 11,16,Portugal,58.63999999999999,Low,Moderate,False
S00255,2.4,75.3,65.2,Associate,Female,4.0,Grade 12,17,Spain,55.669999999999995,Moderate,High,False
S00256,7.6,51.6,73.9,High School,Male,1.0,Grade 11,15,Germany,53.95000000000001,Low,Moderate,False
S00257,16.3,69.7,61.6,Bachelor,Male,4.0,Grade 11,16,Germany,54.97,Moderate,Moderate,False
S00258,6.5,92.8,92.7,Bachelor,Male,4.0,Grade 11,16,Portugal,75.49,Moderate,High,False
S00259,12.2,46.6,58.1,Master,Female,3.0,Grade 11,16,Spain,45.47,Moderate,Low,True
S00260,13.9,65.0,51.5,Master,Male,0.0,Grade 11,16,England,48.03,Low,Moderate,True
S00261,5.4,52.5,70.0,Doctorate,Male,2.0,Grade 10,15,France,51.83,Low,Moderate,False
